year,report,account,current,previous,fs_div,sj_div
2025,연간,자산총계,399370499942,421690971946,CFS,BS
2025,연간,자본총계,348594990774,402501180228,CFS,BS
2025,연간,자본과부채총계,399370499942,421690971946,CFS,BS
2025,연간,부채총계,50775509168,19189791718,CFS,BS
2025,연간,영업이익(손실),-59472307590,-41202116246,CFS,CIS
2025,연간,매출총이익,4418749383,9530330156,CFS,CIS
2025,연간,당기순이익(손실),-55495341539,-36560851475,CFS,CIS
2025,연간,매출액,32978338354,46829943837,CFS,CIS
2024,연간,자산총계,421690971946,456422079722,CFS,BS
2024,연간,자본총계,402501180228,438808093399,CFS,BS
2024,연간,자본과부채총계,421690971946,456422079722,CFS,BS
2024,연간,부채총계,19189791718,17613986323,CFS,BS
2024,연간,매출총이익,9530330156,14660212754,CFS,CIS
2024,연간,매출액,46829943837,53038372299,CFS,CIS
2023,연간,자산총계,456422079722,62618404596,CFS,BS
2023,연간,자본총계,438808093399,42765361853,CFS,BS
2023,연간,자본과부채총계,456422079722,62618404596,CFS,BS
2023,연간,부채총계,17613986323,19853042743,CFS,BS
2023,연간,매출총이익,14660212754,14243534496,CFS,CIS
2023,연간,매출액,53038372299,44953674400,CFS,CIS
2025,3분기,자산총계,399953431394,421690971946,CFS,BS
2025,3분기,자본총계,364477345592,402501180228,CFS,BS
2025,3분기,자본과부채총계,399953431394,421690971946,CFS,BS
2025,3분기,부채총계,35476085802,19189791718,CFS,BS
2025,3분기,매출총이익,2131936396,0,CFS,CIS
2025,3분기,매출액,10164933789,0,CFS,CIS
2024,3분기,자산총계,445283026717,456422079722,CFS,BS
2024,3분기,자본총계,426099411779,438808093399,CFS,BS
2024,3분기,자본과부채총계,445283026717,456422079722,CFS,BS
2024,3분기,부채총계,19183614938,17613986323,CFS,BS
2024,3분기,매출총이익,2889335110,0,CFS,CIS
2024,3분기,매출액,10034333350,0,CFS,CIS
2023,3분기,자산총계,475062191366,62618404596,CFS,BS
2023,3분기,자본총계,441542750046,42765361853,CFS,BS
2023,3분기,자본과부채총계,475062191366,62618404596,CFS,BS
2023,3분기,부채총계,33519441320,19853042743,CFS,BS
2023,3분기,매출총이익,3142036109,0,CFS,CIS
2023,3분기,매출액,12510811883,0,CFS,CIS
2025,반기,자산총계,395945024635,421690971946,CFS,BS
2025,반기,자본총계,377003977001,402501180228,CFS,BS
2025,반기,자본과부채총계,395945024635,421690971946,CFS,BS
2025,반기,부채총계,18941047634,19189791718,CFS,BS
2025,반기,매출총이익,360663117,0,CFS,CIS
2025,반기,매출액,4532272039,0,CFS,CIS
2024,반기,자산총계,449217233097,456422079722,CFS,BS
2024,반기,자본총계,433107860667,438808093399,CFS,BS
2024,반기,자본과부채총계,449217233097,456422079722,CFS,BS
2024,반기,부채총계,16109372430,17613986323,CFS,BS
2024,반기,매출총이익,4104481909,0,CFS,CIS
2024,반기,매출액,14423531367,0,CFS,CIS
2026,1분기,자산총계,401755619447,399370499942,CFS,BS
2026,1분기,자본총계,341103561102,348594990774,CFS,BS
2026,1분기,자본과부채총계,401755619447,399370499942,CFS,BS
2026,1분기,부채총계,60652058345,50775509168,CFS,BS
2026,1분기,영업이익(손실),-12069485926,0,CFS,CIS
2026,1분기,매출총이익,4331125309,0,CFS,CIS
2026,1분기,당기순이익(손실),-9165193026,0,CFS,CIS
2026,1분기,매출액,15294798751,0,CFS,CIS
2025,1분기,자산총계,406698135017,421690971946,CFS,BS
2025,1분기,자본총계,393297632868,402501180228,CFS,BS
2025,1분기,자본과부채총계,406698135017,421690971946,CFS,BS
2025,1분기,부채총계,13400502149,19189791718,CFS,BS
2025,1분기,매출총이익,610007121,0,CFS,CIS
2025,1분기,매출액,5279512001,0,CFS,CIS
2024,1분기,자산총계,452758812282,456422079722,CFS,BS
2024,1분기,자본총계,436465766895,438808093399,CFS,BS
2024,1분기,자본과부채총계,452758812282,456422079722,CFS,BS
2024,1분기,부채총계,16293045387,17613986323,CFS,BS
2024,1분기,매출총이익,3189790299,0,CFS,CIS
2024,1분기,매출액,10881801774,0,CFS,CIS
