current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_debt,roe,debt_ratio,opm,year,sga_expense,prev_sga,long_term_debt
735097407901,462803420793,225653912284,247500000000,206917772188,68789538864,44489406096,150772224008,29118291542,3097491375854,126215683031,21489183999,228111606483,1489859003662,2869379769371,690029632964.0,223646645298.0,346086829058,0,343942803906,223646645298,261576954819,181560298427,301908445724,269456939222,85835596099,74872283952,-19935275259,,,,2016,,,
495375041064,735097407901,129484159522,137690301370,141423759675,148091297644,46038493992,158925090334,150772224008,3252509953437,164335902276,126215683031,256402380856,1639081045361,2996107572581,,,527886796278,346086829058,296959447290,343942803906,199321932160,261576954819,209100174869,178960991188,122883427897,-212853199000,21872461362,,,,2017,97637515130.0,82365849087.0,
590386118610,495375041064,198335207666,85000000000,151658775066,141423759675,84842609230,158359982811,158925090334,3498590607824,196883224571,164335902276,262718281808,1884292021642,3235872326016,847957280682.0,824846243568.0,563849070337,527886796278,284108210345,296959447290,211461289513,199321932160,3293438893,218355604198,60870666503,-1673563042,37507742020,,,,2018,72646920832.0,97637515130.0,
524366995138,590386118610,103029504448,120000000000,129032085115,151658775066,98267143813,252469653840,158359982811,3607086237555,135124744911,196883224571,212953070700,2042485692177,3394133166855,,,588370003873,563849070337,259239746355,284108210345,170875981774,211461289513,196706021587,170604909376,94827144342,-133974319821,44269346090,,,,2019,88363764581.0,72646920832.0,12976186611.0
598850092546,524366995138,125681348671,115000000000,125109439034,129032085115,103938736357,258412696573,252469653840,3792451107167,202893862814,135124744911,291952509952,2151524957807,3500498597215,,,578284902708,588370003873,242657283584,259239746355,156524444435,170875981774,170624276390,145757718049,129934674878,-103942971753,94494224078,,,,2020,86132839149.0,88363764581.0,25846694047.0
630341081664,598850092546,76219107499,0,155539765216,125109439034,145751242375,260993471493,258412696573,4081229754648,242029427910,202893862814,345760552275,2302458583532,3735469202373,963300354498.0,819176121644.0,636114877937,577660660060,327185476561,241515461584,228305200484,157757641970,227739759554,201000675808,36106114503,-66733782474,123323750490,,,,2021,98880276077.0,83757819614.0,24330669218.0
531357795700,630341081664,90685988336,0,197710484086,155539765216,164604880982,283633787603,260993471493,4301818675789,285271955522,242029427910,445377543909,2432332778842,3856441131880,1095895770449.0,963300354498.0,753658210800,636114877937,342237559649,327185476561,245248895826,228305200484,247275364312,163859841867,31527519552,-1701713411,164215526184,,,,2022,96988663823.0,98880276077.0,113374142.0
719088877696,531357795700,196740517703,0,266242340242,200612700808,171043305102,285840386513,283633787603,4640995961705,461942240387,285271955522,4640995961705,2543964004007,4016691459374,1089668057103.0,1095895770449.0,730918971064,753658210800,358749086039,342237559649,256563452628,245248895826,18369651537,187234321156,41824733333,-30414750421,158075764624,,,,2023,102185633411.0,96988663823.0,19386019246.0
749903811373,719088877696,179387827359,112374000,295195536169,266242340242,213093869060,287103309268,285840386513,5136426181879,484686609846,461942240387,5136426181879,2792248792579,4452873418433,1390995724547.0,1089668057103.0,859698056997,730918971064,531297667550,358749086039,418268299588,256563452628,40578826874,350713050064,133275453289,-24382839864,0,,,,2024,113029367962.0,102185633411.0,17760117074.0
605709241694,749903811373,87970654737,3600000000,249017123905,295195536169,219455998755,269223074745,287103309268,5259624597652,257457015581,484686609846,5259624597652,3048494035585,4781079225610,1457551700261.0,1390995724547.0,916629331908,859698056997,540922368353,531297667550,411626236474,418268299588,40008940772,347229288109,235742608281,-2715340186,83728229501,,,,2025,129296131879.0,113029367962.0,15178888600.0
