current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,current_liabilities,prev_current_liabilities,long_term_debt,retained_earnings,total_equity,total_liabilities,operating_income,prev_operating_income,sga_expense,prev_sga,revenue,prev_revenue,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,depreciation,total_assets,accounts_receivable,prev_accounts_receivable
,,2860421000000,,,,,,,2995295000000,14227936000000,154871038000000,4070469000000.0,2948687000000.0,,,,,,1288691000000,6097289000000,-5857279000000,,,,2016,,,,,,,,
,,2109153000000,,,,,,,3365096000000,15964746000000,160194978000000,,,,,50404436000000.0,47120215000000.0,,1310937000000,5138487000000,-5665795000000,,,,2017,,,,,,,,
,,2944541000000,,,,,,,3660257000000,16953035000000,169548577000000,,,,,48740153000000.0,50404436000000.0,,799340000000,2749201000000,-2632220000000,,,,2018,,,,,60480040000000.0,,,
,,3512676000000,,,,,,,3600706000000,18263971000000,182286178000000,,,,,50412399000000.0,48740153000000.0,,231054000000,2517921000000,-3987602000000,,,,2019,,,,,9998000000.0,,,
,,4279157000000,,,,,,,3752626000000,18507198000000,191178338000000,,,,,50926451000000.0,50412399000000.0,,740501000000,3442933000000,-1886506000000,,,,2020,,,,,0.0,,,
,,5496492000000,,,,,,,4650761000000,21047257000000,202366402000000,,,,,52836069000000.0,50926451000000.0,,2162057000000,7228121000000,-8348244000000,,,,2021,,,,,0.0,,,
,,6673028000000,,,,,,,6673349000000,20878827000000,211175324000000,,,,,62278395000000.0,52836069000000.0,,2243337000000,1873139000000,-3790816000000,,,,2022,,,,,68000000.0,,,
,,3619590000000,,,,,,,7599123000000,33198739000000,209738149000000,2411920000000.0,2369638000000.0,,,53134813000000.0,50886731000000.0,,1635515000000,3793385000000,-6668235000000,,,,2023,,,,,37266154000000.0,209738149000000.0,,
,,8844332000000,,,,,,,8131161000000,39561774000000,252036985000000,2416109000000.0,2411920000000.0,,,55646829000000.0,53134813000000.0,,1690434000000,6880953000000,-14049207000000,,,,2024,,,,,9945539000000.0,252036985000000.0,,
,,14684582000000,,,,,,,8479192000000,48435327000000,240894093000000,4146883000000.0,2416109000000.0,,,74785440000000.0,55646829000000.0,,1991600000000,8320196000000,-12799814000000,,,,2025,,,,,18557570000000.0,289329420000000.0,,
