current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,accounts_receivable,prev_accounts_receivable,capex,short_term_investments,roe,debt_ratio,opm,year
698865246827,614675093247,106208824753,221444118814,560691247191,441355157165,1467286017881,265466786715,178485497740,24051887708,99882352269,602653922947,335878807461,864632094934,1014965932470,996816139653,60994092023,79718753505,57156569990,34573861962,18755841542,31889712905.0,4956981448.0,-16414373128,-12487928572,-181849217693,105027124675.0,,,,2016
718641666027,698865246827,135155473234,249049364497,583503204033,560691247191,1549153182270,280757954854,265466786715,5790172221,89936158180,609847533520,398203051797,939305648750,1123956914139,1014965932470,84543010830,60994092023,83516943862,85706875010,147774279086,,,186133589345,188605380137,-82528105987,,,,,2017
734218257647,718641666027,95125339587,287047795492,609209897120,583503204033,1592170451755,382513108950,280757954854,7298978258,199864885984,627857613110,426125596592,964312838645,1231290088657,1123956914139,85774626662,84543010830,60775259510,32736375658,45380803384,48610280335.0,9596568767.0,196255923764,186133589345,-79153174224,76556338891.0,,,,2018
757808686575,734218257647,67456679005,249942352139,600159790230,609209897120,1668172836674,282114838555,382513108950,9414841787,89921320846,641926245953,487282568069,1026246590721,1365679369330,1231290088657,107543717917,89212215482,81287462503,71342383271,138512224902,37633975920.0,10099074418.0,227374135883,196255923764,-149981978808,20166605372.0,,,,2019
836325857820,757808686575,196872300031,253092593572,571962070402,600159790230,1837532868394,367749992979,294945135987,57052620048,18000000,720614938065,572225228374,1116917930329,1355337386745,1365679369330,98055318016,106346704971,144617153377,118379527222,145365812639,36641654608.0,10505730234.0,175290731337,227374135883,-30786823186,437801581119.0,,,,2020
847993055954,836325857820,124629819566,249154273193,603509614933,571962070402,1933709055097,513966843662,367749992979,56109217341,0,776674438964,646914136806,1157034616133,1511373580813,1355337386745,182627158402,98055318016,113384385099,99957306402,133175353198,35837703352.0,10292224855.0,192639076134,175290731337,-219131313372,308297851002.0,,,,2021
954002901339,843500826669,190435290050,317684048628,618616162469,603509614933,2158905107252,515754225263,513966843662,141741535848,91931262490,879409305644,745075889626,1279495801608,1697338482580,1511373580813,207334242877,182454302437,154932220132,120268044179,149081680746,36236180041.0,8351006725.0,228669383540,192639076134,-105493345005,84640635108.0,,,,2022
862545145631,954002901339,161685947360,352349084980,727909821619,618616162469,2359277174097,691004415191,515754225263,87934449719,89942602779,2359277174097,893088305613,1436798777412,1813841462124,1697338482580,195606282852,207334242877,11083065640,191438974294,205654597633,36576278757.0,13993950932.0,223029160659,228669383540,-204815147950,79779797340.0,,,,2023
953746869492,862545145631,191520798132,389975815694,957734379224,727909821619,2720693911174,716162949633,719419824997,239055492942,115006344187,2720693911174,946180888514,1502495759151,5215919274,28723863694,281913080239,195606282852,46914356958,68860695957,162384530560,,,269111926700,223029160659,-365546159488,,,,,2024
1032400161480,953746869492,255917494906,444556489308,1153738515983,957734379224,3232157201634,769769584822,716162949633,422971463787,90946902845,3232157201634,1109081440582,1767325630187,2068370455244,1936916852599,261793894978,281913080239,15711303027,227906759004,257576922910,,,267427611408,269111926700,-367518409417,41162338383.0,,,,2025
