current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,revenue,prev_revenue,income_tax,net_income,cash_from_operations,capex,short_term_investments,long_term_debt,short_term_debt,roe,debt_ratio,opm,year,depreciation,interest_expense
,,117834509250,,,,,,723863094248,,,154463437780,510011227079,569399656468,,,,,85342098190.0,56012559855.0,,,,44528772820,85065118800,-106339598040,1000000000,,,,,,2016,,
,,104073640408,,,,,,835840209317,,,183650481947,594795616838,652189727370,,,,,,,1197158860569.0,1117704662075.0,,103959563440,55515266191,-46243737085,10376332330,,,,,,2017,63858488.0,
,,120477214799,,,,,,947629179353,,,189497465099,698878690504,758131714254,,,,,,,1383593537088.0,1197158860569.0,,132752043977,84560079551,-38683367109,63705582665,,,,,,2018,0.0,
,,210077042304,,,,,,1730132565095,,,723814621859,773541210746,1006317943236,,,,,,,1483769011914.0,1383593537088.0,,101163401402,62778335158,-291363942623,7958825646,,,,,,2019,0.0,
,,121680352793,,,,,,2088053324226,,,1064436010090,778878528248,1023617314136,,,,,,,1566235713095.0,1483769011914.0,,29747509154,38284489711,-254291664921,384269317,,,,,,2020,,
,,72279983706,,,,,,3922480303898,,,1484050371607,897537508588,2438429932291,,,,,,,1989542181862.0,1566235713095.0,,133761698843,103036995180,-1674965515163,-11644339747,,,,,,2021,,
,,281380444158,,,,,,4637476140189,,,1986831501348,1003497787834,2650644638841,,,,,,,3301915805063.0,1989542181862.0,,121928567124,-60953571038,-54628496480,17513491811,,,,,,2022,,
,,389579199482,,,,,,6334593297871,,,6334593297871,998453747373,2611465990083,,,,,,,4759871486264.0,3301915805063.0,,4435219953,-444846366048,-1031417948354,21985903350,,,,,,2023,,
,,644216800470,,,,,,7932459834018,,,7932459834018,760851116900,3320505865578,,,,,,,3699944235821.0,4759871486264.0,,-231338259262,670850270370,-1810359760422,11598133414,,,,,,2024,,
,,319841457995,,,,,,9143896515830,,,9143896515830,770861474563,4512079082909,,,,,,,2938698184392.0,3699944235821.0,,36521891144,-33577422254,-1726807789122,6736874584,,,,,,2025,,
