current_assets,prev_current_assets,cash,inventory,total_assets,ppe_net,prev_ppe_net,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,long_term_debt,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,interest_expense,depreciation,cash_from_operations,capex,roe,debt_ratio,opm,year,accounts_receivable,prev_accounts_receivable,short_term_investments
1055399039735,780071705402,307906741951,406528529825,1055399039735.0,576640421491,577490961916,374861487431,631511922990,124609926876,374861487431.0,250537387636,712999289568,791111801120.0,1576385545369,1359734457816,1273103766808,1147065930820,303281778561,212668526996,151834904806,155320168214,151446873755,57348358782,146929391571,77413416073,18832865483,66774096681,209981983744,-118152668138,,,,2016,,,
1007785408274,1055399039735,163221028670,396198432367,2560347465777.0,772878509697,576640421491,850839069652,374861487431,242891876672,1656608546893.0,99911142042,869753373626,903738918884.0,2381067231865,1576385545369,1972085516218,1273103766808,408981715647,303281778561,184392208709,151834904806,224589506938,151446873755,220206488337,167843641965,36214661830,85530909274,281097654904,-417481715108,,,,2017,358949491571.0,170940114881.0,
1008970567400,1004468296482,62547757562,492612970643,2592198630801.0,766441303513,772878509697,855829585425,850839069652,229924419902,1618593244368.0,209828269659,920440553845,973605386433.0,2444610139805,2381067231865,2082288346293,1972085516218,362321793512,408981715647,185282680906,187831225366,177682587859,224589506938,90264931790,70990988460,35050394770,76313570412,52768724868,-66341123753,,,,2018,10905953759.0,14302734830.0,
1201751319281,1008970567400,109380224287,506468197191,2986045255327.0,889938205095,766441303513,951701087910,855829585425,225799036257,1907582869064.0,154012386000,955172874987,2986045255327.0,2682595084607,2444610139805,2274202214674,2082288346293,408392869933,362321793512,208615223630,185282680906,193575195385,177682587859,74859985096,51402754321,48115294784,4904355358,193237998737,-49961945455,,,,2019,6202450918.0,-643475253.0,
1183312605552,1201751319281,171210225334,465529113045,3106026196549.0,867901437086,889938205095,1060733597245,951701087910,248541466176,1810884383446.0,194638396680,1188446532347,3106026196549.0,2857331306401,2682595084607,2363426663166,2274202214674,493904643235,408392869933,190292607627,208615223630,306496418205,193575195385,306640096320,243645014417,44296010407,889275894,402219450415,-130521046880,,,,2020,2884382597.0,-6202450918.0,
1289142447639,1183312605552,156267865847,491147656569,3051904549495.0,827795362788,867901437086,846440563703,1060733597245,213871875766,1565018656224.0,72877417245,1339856824345,3051904549495.0,2802218863760,2857331306401,2348234156776,2363426663166,453984706984,493904643235,189071649940,190292607627,260726838588,306496418205,223648623359,171466423616,35300090044,896555751,332971478154,-92478417228,,,,2021,-4186218456.0,2884382597.0,
3395834362543,3047421617801,540891026726,1478679987751,7061179537459.0,2208848162224,2171915246661,2682961819501,2216120894829,789162453566,4152704107718.0,179772374648,1916402410186,7061179537459.0,9026258367482,7602999659514,7534555217098,6156365008568,1491703150384,1446634650946,996384714383,928788879378,494432749962,508664037310,405754467887,296545278655,84875775547,220471388490,499245647167,6640857235,,,,2022,-885686039.0,-9181734258.0,117037479657.0
3770743737259,3395834362543,637868932124,1302448916506,,2512179511671,2208848162224,3070620309109,2682961819501,924220733800,,501717238015,2102643322532,,44965456656,64386779702,7429456518026,7534555217098,1519114239938,1491703150384,1054380613312,997270400422,464733626626,494432749962,76365448377,272187151018,119356445446,2317442240,661473440210,-882356010553,,,,2023,1103195071054.0,991937270208.0,
3167813675841,3770743737259,355677146235,1371962994831,,2487268607600,2512179511671,2420635326745,3070620309109,773371112127,,182428273333,2138300246586,,92926081217,44965456656,7338071728149,7429456518026,1606160211577,1519114239938,1104840271183,1054380613312,501319940394,464733626626,82280239723,113563839180,120050270544,7905697009,421254990860,134933504307,,,,2024,1110532525023.0,1103195071054.0,702660459400.0
3544497805672,3167813675841,462412200801,1488319534633,,2552063233966,2487268607600,2864765273862,2420635326745,869187931428,,270384481216,2437473088178,,53889594210,92926081217,7918402550918,7338071728149,1665271346073,1606160211577,1149137243641,1104840271183,516134102432,501319940394,79662323114,387148699085,110246059624,560543435,466018928197,-400491635039,,,,2025,1150272024117.0,1110532525023.0,316879497800.0
