current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,long_term_debt,roe,debt_ratio,opm,year,depreciation
801377451911,743461526280,56920250501,344970619852.0,288383609050.0,320752651018,554025943196,500402998344,1550614664028.0,303297155469,307735421095,491603629980.0,637242993956,1059011034048.0,1197903918398,1047812247334,845825580799,708815563714,352078337599,338996683620,273626761245,247316413197,78451576354,91680270423,79510723428,65152450728.0,-1742284529,-111085151013,161910850000.0,149450400000,,,,2016,
926536972932,801377451911,170978987133,,,381267191673,552003704557,554025943196,1703581525062.0,260055246607,303297155469,594868624414.0,677465351857,1108712900648.0,1287916286216,1197903918398,921112427535,845825580799,366803858681,352078337599,276506081080,273626761245,90297777601,78451576354,72151715426,56711043492.0,57879005794,14826383407,152537021274.0,149495360000,,,,2017,
893430408748,926536972932,96635650935,,,386925117256,559660094878,552003704557,1723409866445.0,303482275946,260055246607,597203089096.0,701791039189,1126206777349.0,1334877810113,1287916286216,989010126231,921112427535,345867683882,366803858681,295716975529,276506081080,50150708353,90297777601,50151257202,34249899538.0,14410216138,-86074866751,163854542482.0,0,,,,2018,
961780105068,893430408748,98461664082,,,406556726208,641662227496,559660094878,1959299527595.0,401422956081,303482275946,775222802774.0,679527039248,1184076724821.0,1369709726800,1334877810113,997394419112,989010126231,372315307688,345867683882,332060767636,295716975529,40254540052,50150708353,-6141514775,-11287400054.0,40291382029,-177910174330,0.0,0,,,,2019,286848.0
1132043318805,961780105068,232288414078,,,437071446269,673721617390,641662227496,2151399593550.0,589402989703,401422956081,882093850046.0,757278400884,1269305743504.0,1504115278649,1357117265367,1063488669248,984944086947,440626609401,372173178420,390374083532,330491607326,50252525869,41681571094,104473502642,,35973500914,29684195080,0.0,20000000000,,,,2020,18440921367.0
1095620833886,1132043318805,186060276974,,,454976365250,799071839749,673721617390,2462144732200.0,552882863140,589402989703,962387714561.0,867352641805,1499757017639.0,1537825750251,1504115278649,1017232478298,1063488669248,520593271953,440626609401,446931651174,390374083532,73661620779,50252525869,172559285896,,125978948878,-132077425358,,0,,,,2021,22064922993.0
980437888875,1095620833886,105365807601,,,442408247727,822392573744,799071839749,2525537081269.0,540738447304,552882863140,958895150180.0,903467120918,1566641931089.0,1711312739533,1537825750251,1129508276275,1017232478298,581804463258,520593271953,500540797415,446931651174,81263665843,73661620779,85727859933,69414784584.0,119154310889,-205259306668,,30000000000,,,,2022,22056368761.0
1039149087771,980437888875,49706128323,,,516245342193,828028699389,822392573744,2643313917487.0,868916638866,540738447304,2643313917487.0,872988969849,1539863309487.0,14532115279,59293273496,1142011052957,1129508276275,484632762863,581804463258,450196593327,500540797415,34436169536,81263665843,-7326031750,-19808730987.0,-5472809765,-150243304368,,0,,,,2023,41140109007.0
1201833945085,1039149087771,22563430298,386525601416.0,436957031192.0,746581837757,804979215681,828028699389,,769474794987,868916638866,,815335639816,,19718323013,14532115279,1197959660983,1142011052957,481932280494,484632762863,449824932605,450196593327,32107347889,34436169536,1527335664,,-53460079255,-67894169567,,0,,,,2024,29500000000.0
1370387734841,1201833945085,49372311054,402689498135.0,386525601416.0,891582178197,844908094280,804979215681,,1145802792164,769474794987,,796529450365,,55637181286,19718323013,1437159054896,1197959660983,554120038925,481932280494,484970181774,449824932605,69149857151,32107347889,-5645866979,,99462778248,-186790057520,,20000000000,,,,2025,66500000000.0
