current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,long_term_debt,short_term_debt,roe,debt_ratio,opm,year,depreciation,short_term_investments
340486891171,244006333330,60428744943,124355620275,85962919878,71293346301,154200097747,205271088986,551111729689,262559838846,233990872449,353041420772,147618928932,198070308917,554178600214,520911372674,496906322648,459471612390,57272277566,61439760284,46214643013,41263210526,11057634553,20176549758,7010479472,236505831,-107430117,-10463056217,57276800000,181871323974,,,,2016,,
271299849310,340486891171,65411763475,91098023251,124355620275,73203951371,162273167771,154200097747,483286938478,255052122299,262559838846,310163814267,130655626510,173123124211,531340270143,554178600214,492909163388,496906322648,38431106755,57272277566,46460344868,46214643013,-8029238113,11057634553,-11756852325,-14879126474,6673956553,11039708223,23577401697,53132820793,,,,2017,,
268835427449,271299849310,25434836898,129055964877,91098023251,87605140491,186852360303,162273167771,505590088623,268258735197,255052122299,327935051269,116826600374,177655037354,560337380894,531340270143,503558112556,492909163388,56779268338,38431106755,49278940937,46460344868,7500327401,-8029238113,-116492038,-7371813223,-26634426906,-16701033118,45000000000,96042308663,,,,2018,,
224717545689,268835427449,27027236794,92898431718,129055964877,81822315745,143847734862,186852360303,416712435733,302570656721,268258735197,340687564484,16823116965,76024871249,514238394051,560337380894,487781833693,503558112556,26456560358,56779268338,50414206673,49278940937,-23957646315,7500327401,-71795962070,-91099124274,15468978780,-21569166990,23345320000,171707115155,,,,2019,,
224299898914,224717545689,23159628294,86484081831,92898431718,94206392664,130550933916,143847734862,389384712550,295044097044,302570656721,324275898196,747750458,65108814354,514188415796,514238394051,467262223825,487781833693,46926191971,26456560358,44962643117,50414206673,1963548854,-23957646315,-8373269131,-13504623004,-22195222594,3322336924,9390083388,109121042303,,,,2020,,
310268447359,224299898914,44364623195,112510242740,86484081831,111337249017,111321616401,130550933916,449678765264,298215821354,295044097044,324186855631,-5426964612,125491909633,469621094131,393228673369,384121295405,342055377232,85499798726,51173296137,38624218527,38387325350,46875580199,12785970787,43010725674,-3603718792,3972190584,-22887659464,714818167,97112506724,,,,2021,31830720092.0,
373857465832,310268447359,45645080142,142780338268,112510242740,167460622091,131563558581,111321616401,546014160739,286000684042,298215821354,323686082261,76504547474,222328078478,642920533265,469621094131,479017945419,384121295405,163902587846,85499798726,47284444224,38624218527,116618143622,46875580199,107829664836,102473037692,29760255326,-12304227344,20000000000,45084520000,,,,2022,6168960000.0,
383628200131,373857465832,47962800869,151631651008,147221195446,176074379910,192364996368,131563558581,626436318507,290513985554,286000684042,626436318507,114366332352,266778163292,1294975532,1334678143,558885055915,479017945419,116447699794,163902587846,54278641393,47284444224,62169058401,116618143622,6932551806,47723051484,52473189957,-61440736915,0,31197820000,,,,2023,700000000.0,
522697354400,383628200131,80356130093,228937527112,151631651008,186899798289,201549117614,192364996368,790136366426,377363096552,290513985554,790136366426,172267493486,327526708412,836866961285,675332755709,680266617856,558885055915,156600343429,116447699794,54721507380,54278641393,101878836049,62169058401,17772805014,74034111779,84900910242,-63001568967,0,58000000000,,,,2024,1000000000.0,700000000.0
862769924036,522697354400,162780032068,214126684548,228937527112,298791648898,307487886792,201549117614,1289510030680,416473904433,377363096552,1289510030680,325777749470,756197181444,1088025119176,836866961285,805720716831,680266617856,282304402345,156600343429,77579870943,54721507380,204724531402,101878836049,41211899528,160482561697,168752524669,-346674772791,49000000000,11000000000,,,,2025,175712986992.0,88000000000.0
