cash,inventory,total_assets,ppe_net,prev_ppe_net,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,operating_income,prev_operating_income,income_tax,net_income,depreciation,interest_expense,accounts_receivable,prev_accounts_receivable,cash_from_operations,capex,roe,debt_ratio,opm,year,current_assets,prev_current_assets,current_liabilities,prev_current_liabilities
346650586957,,2040955002593,,,,,1379414317857,371299968939,661540684736,3715311073945,3251679551390,78965728348.0,77150368054.0,,27830465718.0,12484714,,,,113362684254,3734556466,,,,2016,,,,
474418582798,,2249913438636,,,,,1581775583641,381564323625,668137854995,4011499999472,3715311073945,73086158077.0,78965728348.0,,25286262759.0,0,,,,207159424960,-162069362460,,,,2017,,,,
281904024505,,2303742128337,,,,,1538678672070,475364976138,2303742128337,4713673210396,3514696377592,209105000768.0,73086158077.0,,110308150447.0,325490,,,,153867114441,-102783353728,,,,2018,,,,
508299588289,,3527280624051,,,,,2607739512729,626998457420,919541111322,5717306417234,4713673210396,295859974844.0,209105000768.0,,169427576031.0,0,,,,403721480648,-92569317491,,,,2019,,,,
240173920205,,2893842458745,,,,,2269886507822,341797053127,623955950923,3188065338010,5717306417234,,,,-283345631526.0,0,,,,-51667226763,-260219038797,,,,2020,,,,
242874407594,,2656449911686,,,,,2079545237446,288608943246,576904674240,3779129065561,3188065338010,,,,27059370238.0,44484160835,,,,42341284484,134320042634,,,,2021,,,,
534097781762,,2938544987435,,,,,2398761037870,242285584935,539783949565,4922008727369,3779129065561,78346330937.0,118811528171.0,,,99952691,,,,220460436820,-80733201045,,,,2022,,,,
411692316605,,3006538770202,,,,,3006538770202,304402826078,608492780185,3568466181329,4922008727369,,,,,0,,,,242525445849,-231399631306,,,,2023,,,,
370379064991,,3813885971903,,,,,3813885971903,223367485604,1284345073338,3947552203343,3568466181329,,,,-61501483516.0,1651588817,,,,68743231242,-95268922485,,,,2024,,,,
338290693972,,3541423621707,,,,,3541423621707,54974570096,1106221783430,4068306491409,3947552203343,,,,-172848550007.0,17160117,,,,103620502742,-103593504286,,,,2025,,,,
