current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation,accounts_receivable,prev_accounts_receivable
,,1012313392800,,,,13817913129303.0,,,,8349586420374.0,3586395957168,5468326708929.0,9258832683954,8036991362167,,,,,,,779218090575.0,337012931388.0,,770943675548.0,1151003611390,-460096345420,,,,2016,,,
,,804983081320,,,,13649487899740.0,,,,7462014737362.0,4364715483645,6187473162378.0,9341813226373,9258832683954,,,,,,,756410990517.0,779218090575.0,,834534179123.0,916231863267,-403184977798,,,,2017,,,
,,1024121436014,,,,15231475447557.0,,,,9004379085506.0,4496527139705,6227096362051.0,9046041904194,9341813226373,,,,,,,354345747966.0,756410990517.0,,160444990066.0,726704240219,-434644603166,,,,2018,,,
,,1084516315974,,,,,,,,,4175935376973,,9503286226445,9046041904194,,,,,,,378325667351.0,354345747966.0,,-237622602401.0,1206117680069,-1110655156763,,,,2019,,,
,,1199836790880,,,,15137319821657.0,,,,9169604331158.0,4429789179026,5967715490499.0,9195008128360,9457389997298,,,,,,,594183118076.0,459151320504.0,,301722374169.0,1069541687095,-42736555229,,,,2020,,,
,,1567162571367,,,,20007572194182.0,,,,11806325074949.0,5051413697545,8201247119233.0,10725192384822,9195008128360,,,,,,,738347655292.0,594183118076.0,,619050614652.0,990890683781,-1654951903656,,,,2021,1099170123176.0,,
,,2548379660490,,,,23831697412977.0,,,,13934785853643.0,5561405443543,9896911559334.0,13653948104906,10725192384822,,,,,,,966247380110.0,738347655292.0,,366023151112.0,115716723309,-1476580456558,,,,2022,1225921497314.0,,
,,2013966344,,,,24492909473815.0,,,,15482363318996.0,5338930251284,9010546154819.0,13288744762930,13130752887526,,,,,,,,,,,517954151584,-2799146967808,,,,2023,1045682883694.0,,
,,2184380593410,,,,30036831374114.0,,,,19429975219652.0,4132435262333,10606856154462.0,12394023649010,13078536180473,,,,,,,,,,,638486498245,-3287400944653,,,,2024,,,
,,2470461000000,,,,33144011000000.0,,,,21958972000000.0,3443071000000,11185039000000.0,13333055000000,12394024000000,,,,,,,,,,,-655006000000,-1748552000000,,,,2025,,,
