current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
1689843604698,1521832617235,583030712557,42406624542,362553250513,345285793097,603862643217,725335330845,719588418696,2838123068022,663872059843,473706141920,249120936729,19762811050,1082669957117,682091964247,1755453110905,2338014921195,1880488283777,1571364674721,1190776140924,766650246474,689712142853,565654302790,458836705264,200995943684,230875437589,178948325738,128985771349,129248633632,-102653144672,,,,2016
1567045180110,1689843604698,506740054405,79892233561,352897813117,362553250513,540413579257,756637664341,725335330845,2760525744291,593115811259,663872059843,235080729728,27426505920,1006884485575,747883249535,1753641258716,2384765744265,2338014921195,1582546403926,1571364674721,802219340339,766650246474,591917272381,565654302790,210302067958,200995943684,161710329074,117579783616,191077551054,-193120571441,,,,2017
1670410639455,1567045180110,540565836683,72763791893,379806464438,352897813117,580442554334,839715841918,756637664341,3262155792804,524348281910,593115811259,122337998831,28429712400,1081984943807,827430731679,2180170848997,94546830383,107782383469,1643814834883,1582546403926,874881095256,802219340339,619979370766,591917272381,254901724490,210302067958,225791541710,152106278538,271732947604,-134589849570,,,,2018
1863424718855,1670410639455,547379455943,192359752432,402659445741,379806464438,621584247856,876878816037,839715841918,3789427813762,671234942550,524348281910,138336500799,115407337760,1213687376031,938812964679,2575740437731,104767492862,94546830383,1852264773423,1643814834883,885694592280,874881095256,586706479104,619979370766,298988113176,254901724490,302093308203,227683258590,282483205332,-238348425562,,,,2019
2150102305751,1863424718855,964590475751,174468588334,374520450214,402659445741,566107152728,876374148859,876878816037,3732514860246,648819695396,671234942550,220065713897,19099651750,1115409879234,1122026517375,2617104981012,167963639231,104767492862,1917597202387,1852264773423,933359265971,885694592280,592593907924,586706479104,340765358047,298988113176,321126994926,234465776622,446746314305,122058845032,,,,2020
2619646378802,2150102305751,849455181908,451519352101,425517793142,374520450214,716660869592,977035280368,876374148859,4325576166733,595771679968,648819695396,103168981147,0,1170497824939,1328893724095,3155078341794,102052188083,167963639231,2013103521111,1917597202387,1227410306313,933359265971,656917646996,592593907924,570492659317,340765358047,606159339416,446829434889,404879753943,-422911911706,,,,2021
3589462887266,2619646378802,1000869586527,643585312074,586370104833,425517793142,1120453201512,988764616054,977035280368,5490219711184,937917047917,595771679968,225446775196,28929517784,1503556312790,1746527033702,3986663398394,296830721593,102052188083,2660035593343,2013103521111,1873843612186,1227410306313,871644904937,656917646996,1002198707249,570492659317,1083402103654,898144561108,519228688003,-382943621966,,,,2022
4200038436119,3589462887266,1183867828814,833982020902,526160340093,586370104833,1503172218421,1086678790808,988764616054,6379343146101,1220665123125,937917047917,400421228237,0,1799444219558,2064293850799,4579898926543,224186345435,296830721593,2496614929837,2660035593343,1858863332500,1873843612186,986281198998,871644904937,872582133502,1002198707249,218094352838,718736627040,701813745240,-528359755309,,,,2023
4372107678298,4200038436119,1273001203017,833009269239,618515212321,526160340093,1420598126236,1201098277638,1086678790808,6576715632460,828777285830,1220665123125,28104155332,19547825434,6576715632460,2342898222581,4987109262473,362847438336,224186345435,2698418591332,2496614929837,1607619579806,1858863332500,1090574128896,986281198998,517045450910,872582133502,168350553002,495633035941,781001481488,-134061832343,,,,2024
4653646084683,4372107678298,1464189666693,667703152444,719849655610,618515212321,1461972167274,1332554848566,1201098277638,6995703461755,1059126366559,828777285830,78827842676,190959894360,6995703461755,2696696373987,5286114065986,338991587393,362847438336,3027213275675,2698418591332,1867796867287,1607619579806,1132322289000,1090574128896,735474578287,517045450910,201678126752,606455450562,540737658622,-153393935779,,,,2025
