current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,depreciation,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,short_term_debt,long_term_debt,roe,debt_ratio,opm,year
1981389629000,2399834131000,338606921000,789966317000,3463078860000,4258759955000,6248555403000,1437938519000,1585448631000,2983957869000,2257217917000,3264597534000,2739362364000,2301520602000,2409468339000,2215819606000,329894025000,85700996000,208540104000,230328678000,3028732000.0,121353921000,-144627682000,-195121146000,219407537000,407633584000,-139297824000,29036824000,325938883000,100873947000,,,,2016
2098427000000,1981389629000,913972875000,358344589000,3290787630000,3463078860000,6077824637000,1214344006000,1437938519000,2662132158000,2477378253000,6077824637000,3631633189000,2736686234000,3133143807000,2396903560000,498489382000,339782674000,214041657000,207273811000,,284447725000,132508863000,279677728000,232640722000,480277151000,415739089000,154717012000,494076698000,300508120000,,,,2017
2018703322000,2098427000000,744271382000,544617696000,3257068413000,3290787630000,5659590446000,1092898742000,1214344006000,2167025481000,2528757758000,5659590446000,3112143978000,3631633189000,2746371833000,3133143807000,365772145000,498489382000,207102066000,214041657000,125055000.0,158670079000,284447725000,130473878000,103818814000,676513158000,-398877413000,459826278000,510277226000,11725580000,,,,2018
2160672177000,2018703322000,487552585000,906322522000,2041856747000,3257068413000,4811211712000,845845775000,1092898742000,2125488240000,1704085959000,4811211712000,2605142204000,3112143978000,2565109883000,2746371833000,40032321000,365772145000,220637329000,207102066000,827325000.0,-180605008000,158670079000,-1012232928000,-807386477000,-39870245000,-271529111000,238938071000,550046275000,447407353000,,,,2019
2036042076000,2160672177000,443551390000,813556519000,1710192003000,2041856747000,4437236050000,859670483000,845845775000,2051507407000,1454843452000,4437236050000,2002516778000,2605142204000,1873995419000,2565109883000,128521359000,40032321000,214666434000,220637329000,98807000.0,-86145075000,-180605008000,-350121277000,-251164047000,-118507430000,6211274000,389364398000,303575285000,288958821000,,,,2020
3338987117000,2036042076000,698696135000,1604699967000,1617993157000,1710192003000,5704061113000,1236490174000,859670483000,2580268702000,2092660672000,5704061113000,3243996752000,2002516778000,2337855679000,1873995419000,906141073000,128521359000,280156138000,214666434000,140405000.0,625984935000,-86145075000,611952710000,652075833000,377690582000,-283562829000,308509879000,406642547000,311069837000,,,,2021
4110803927000,3338987117000,1245993946000,1892778614000,1707973720000,1617993157000,6745534254000,1577971429000,1236490174000,2734136888000,2935330723000,6745534254000,4671316051000,3243996752000,3382515104000,2337855679000,1288800947000,906141073000,312128165000,280156138000,1004500000.0,976672782000,625984935000,1001629603000,877756345000,566649863000,-57790005000,677304170000,705170093000,143317470000,,,,2022
3994170810000,4110803927000,1213823579000,1731686350000,1175944575000,1707973720000,5956551773000,879584374000,1577971429000,2141619139000,3575823601000,3814932634000,2649691893000,2768929400000,1939223325000,1865117241000,710468568000,903812159000,179251271000,151380217000,0.0,531217297000,752431942000,75018108000,710344635000,674201886000,-535383932000,683262623000,282305772000,59710079000,,,,2023
4763348250000,3994170810000,1143262782000,2345022178000,2374009389000,1175944575000,8093654722000,1901359096000,879584374000,3258113380000,3541644014000,4835541342000,3577383349000,2649691893000,3116336991000,1939223325000,461046358000,710468568000,359518629000,179251271000,240026768000.0,101527729000,531217297000,61922558000,113723638000,116386068000,-108152257000,933970940000,862208388000,150000000000,,,,2024
4040560015000,4763348250000,1034744959000,2295203142000,2653121735000,2374009389000,7870870449000,1376068455000,1901359096000,3139344072000,3378269693000,4731526377000,3380060390000,3577383349000,3040555661000,3116336991000,339504729000,461046358000,397131793000,359518629000,505485761000.0,-57627064000,101527729000,6706378000,-146247800000,553878733000,-401418734000,1271978973000,637879995000,150000000000,,,,2025
