current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation
,,309271070411,,,,,,6482637891567,,,,,819933197199,5300263427198,5662704694368,5847513111727.0,4771442958357.0,,,,,,,764684587877,672218933053,,594584342454.0,680703744719,-458973219058,,,,2016,
,,596887445584,,,,,,7038142272799,,,,,932491517423,5781756714103,6105650755376,,,,,,,,,894752364239,764684587877,,,796812343465,-323708942928,,,,2017,
,,656089868179,,,,,,7225894143698,,,,,851366368823,6138134861932,6374527774875,,,,,,,,,764718763710,894752364239,,,888331257909,-649742277870,,,,2018,5860000.0
,,689518057370,,,,,,7840561221499,,,,,1002169326090,6591700813506,6838391895409,,,,,,,,,805328836892,764718763710,,,692660279007,-473864320878,,,,2019,10135000.0
,,425567595232,,,,,,8499645577650,,,,,1412616891338,6939677782254,7087028686312,,,,,,,,,897387769203,805328836892,,,456522986973,-547586397377,,,,2020,18680000.0
,,466465326011,,,,,,9964048634649,,,,,2229814171825,7518367793855,7734234462824,,,,,,,,,1096146343693,897387769203,,,606883888565,-577707783864,,,,2021,17355000.0
,,780981792302,,,,,,12097918358974,,,,,2866186242426,7953409019052,9231732116548,,,,,,,,,919171130822,1096146343693,,,784694563029,-1796800016754,,,,2022,12440000.0
,,676775222868,,,,,,12046071311650,,,,,12046071311650,7843381808493,9642002868870,9704521343024.0,11219358600107.0,,,,,,,659935424598,919171130822,,533378688122.0,820863992249,-622467461266,,,,2023,13840000.0
,,893806431755,,,,,,14792322181548,,,,,14792322181548,7600981483812,7595427776993,12052918410249.0,9704521343024.0,,,,,,,723472208523,659935424598,,194781564506.0,515812554313,-1354989154218,,,,2024,311399220404.0
,,3451069963536,,,,,,20395719724719,,,,,20395719724719,6542819899592,11184217875641,16587850779912.0,12052918410249.0,,,,,,,1231926775791,723472208523,,770249337092.0,-628210721953,-441055707126,,,,2025,292333518667.0
