current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,revenue,prev_revenue,depreciation,capex,short_term_debt,roe,debt_ratio,opm,year
,,2202944465224,425756558256,,,,,,15866834169901,,,,6466016999469,8486992508654,9400817170432,,,,,,,,,,1837184919078.0,2700639428999,,,,593181697.0,-3564635824107,,,,,2016
,,1685211989030,3086656512787,,,,,,19550971100650,,,,7296204039219,10582113942798,12254767061431,,,,,,,,,,2284576938361.0,3129011398101,,,,53078588.0,-4717557637782,,,,,2017
,,1329974466103,3306356089721,,,,,,20799138833104,,,,7254811592591,11784662256446,13544327240513,,,,,,,,,,1641934137836.0,1380927825833,,,,1269316901.0,-1763101864188,,,,,2018
,,1351954868848,1606579519102,,,,,,20043105157128,,,,5989974765604,12158354451643,14053130391524,,,,,,,23833.0,44845.0,,756665993886.0,1277869267059,,,,135729568.0,662354130984,,,,,2019
,,1522332787708,1549763760642,,,,,,19386545994630,,,,5674190700686,12076919914542,13712355293944,,,,,,,,,,175348148336.0,1310811944115,,,,2728056288.0,-638532299829,,,,,2020
,,1602899582367,1699360176156,,,,,,22869964008005,,,,7418767512580,13307511361628,15451196495425,,,,,,,39260.0,4623.0,,1425601668371.0,1486216752868,,,,337349634.0,-1458370824425,,,,,2021
,,2809675585268,348389749813,,,,,,26784587810580,,,,9520345523797,13138542501467,17264242286783,,,,,,,,,,27820456953.0,-167465442693,,,,1834173232.0,-688265654553,,,,,2022
,,2701527699211,1100894070525,,,,,,33476310224541,,,,33476310224541,12964760828856,20232540579853,,,,,,,,,,-39243085252.0,789529232365,,19946396629902.0,0.0,,-5074575654868,,,,,2023
,,2111786094945,1319619313201,,,,,,34552330375053,,,,14564385612175,11062434420781,19987944762878,,,,,,,,,,,1542393674686,,,,,-1948207137502,,,,,2024
,,1870312010924,824440281077,,,,,,31117333049679,,,,13488904582400,9043906535034,17628428467279,,,,,,,130.0,230.0,,1825269420.0,488927763234,,,,,-581027884549,,,,,2025
