current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
3743344112085,3623316813829,799263907582,1188716193879,1275189044359,771588300071,2548322913146,2322779882631,7022079143075,1698890079053,1843110152703,0,849336082396,3763489825885,2689544946377,3258589317190,7589447382673,7884188370663,7012733093582,7043088645964,576714289091,841099724699,262732211160,500933795267,232765565321,130726808351,354613088920,-469990720444,,,,2016
3859384688340,3743344112085,931335151866,1172586252091,1188716193879,890939858796,2600274429076,2548322913146,7193681978019,1727926131338,1698890079053,14889776840,858204697422,4053583984108,2606667855600,3140097993911,7487391747448,7589447382673,7193349181632,7012733093582,294042565816,576714289091,16717839507,262732211160,-97056724474,-63003629949,72711409571,-234418294514,,,,2017
3890796337846,3859384688340,335766489610,1669987383189,1172586252091,803082587915,2569455983157,2600274429076,7107447377503,1862772476318,1727926131338,51996041885,775235732685,4070516175279,2520353021117,3036931202224,7880481391244,7487391747448,7578404207209,7193349181632,302077184035,294042565816,5030582887,16717839507,-70632456449,-55561248376,-113336962971,-463861418282,,,,2018
3569098000000,3890796000000,382584000000,1401111000000,1669987000000,665170000000,2560961000000,2569456000000,6774339000000,1861396000000,1862772000000,127971000000,621582000000,3682530000000,2549492000000,3091809000000,7314626000000,7880481000000,6917930000000,7578404000000,396696000000,302077000000,101934000000,5031000000,49477000000,55207000000,444220000000,-248757000000,,,,2019
3987965000000,3569098000000,554947000000,1464337000000,1401111000000,760973000000,3158712000000,2560961000000,7719906000000,1985718000000,1861396000000,97008000000,981326000000,4194046000000,2593590000000,3525860000000,6592242000000,7314626000000,6241325000000,6917930000000,350917000000,396696000000,71957000000,101934000000,84460000000,53672000000,189148000000,-324702000000,,,,2020
4156485000000,3987965000000,435063000000,1490971000000,1464337000000,815022000000,3102565000000,3158712000000,7749507000000,2126275000000,1985718000000,26041000000,975737000000,4054243000000,2651486000000,3695264000000,7527739000000,6592242000000,7030744000000,6241325000000,496995000000,350917000000,102725000000,71957000000,100720000000,56071000000,290279000000,-200268000000,,,,2021
4267463000000,4156485000000,674426000000,1646432000000,1490971000000,810220000000,2799351000000,3102565000000,7546451000000,2410435000000,2126275000000,38424000000,926655000000,3812800000000,2719291000000,3733651000000,8207614000000,7527739000000,7620589000000,7030744000000,587025000000,496995000000,212115000000,102725000000,86063000000,43482000000,423981000000,184686000000,,,,2022
3733083000000,4267463000000,471826000000,1512394000000,1646432000000,794528000000,2642071000000,2799351000000,6825905000000,1983908000000,2410435000000,50377000000,99765000000,6825905000000,2775489000000,3766754000000,8590316000000,8207614000000,8006056000000,7620589000000,584260000000,587025000000,229216000000,212115000000,54198000000,52548000000,468142000000,152746000000,,,,2023
3966900000000,3733083000000,758404000000,1430040000000,1512394000000,680536000000,2642733000000,2642071000000,7075991000000,2400075000000,1983908000000,153019000000,49932000000,3049692000000,2861696000000,4026299000000,8180886000000,8165581000000,7643485000000,7656543000000,537401000000,509038000000,218810000000,232802000000,70981000000,129472000000,591988000000,-30437000000,,,,2024
3879503000000,3966900000000,1116473000000,1343779000000,1430040000000,589934000000,2537567000000,2642733000000,7025106000000,2050549000000,2400075000000,71245000000,349043000000,2959678000000,2924081000000,4065428000000,8481561000000,8180886000000,7943039000000,7643485000000,538522000000,537401000000,204413000000,218810000000,20813000000,116932000000,404129000000,-397000000,,,,2025
