current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_debt,roe,debt_ratio,opm,year,short_term_investments,interest_expense
2780200475557,1997989386825,257418395798,926168439110.0,492521133053.0,768791435681,1360067053232,844897772923,5652438366206.0,1968600408357,1351647230897,826234858862,3311673751474.0,1350027353930,2340764614732.0,3518876664698,2613405506139,2802450654703,2096594209821,716426009995,516811296318,391306385231,371907177256,150726416229,-59560268060,418503277767,345869269060,196055181841,-718306035536,465427616990,,,,2016,,
2835094873895,2780200475557,461379841501,1113994833474.0,926168439110.0,815447394836,1426613387099,1360067053232,5747573160594.0,2140555352702,1968600408357,446035026392,3566619939625.0,1291117994467,2180953220969.0,4215471442145,3518876664698,3447049987324,2802450654703,768421454821,716426009995,520657255475,391306385231,82908571814,150726416229,17751452292,-47748078675,-9741475193,72610488087,1183869080000,,,,2017,,
3876999346592,2835094873895,636721974889,1245630373218.0,1113994833474.0,1319797341845,1713685418792,1426613387099,7396686212948.0,3144141257472,2140555352702,834539472576,4760935791485.0,1373083857984,2635750421463.0,4453176623308,4215471442145,3655168285090,3447049987324,798008338218,768421454821,592366403498,520657255475,53177339126,82908571814,53489650252,49251058766,56342753665,-213054319965,765658600000,,,,2018,15541708176.0,
4563607003936,3876999346592,1000121610062,1293046469349.0,1245630373218.0,1329689801105,1821964121936,1713685418792,8708410720271.0,3329041908478,3144141257472,504161325471,5853055428024.0,1475931391060,2855355292247.0,5264114375095,4453176623308,4242318189013,3655168285090,1021796186082,798008338218,683094152644,592366403498,165225934743,53177339126,156288937388,162427318272,715142993168,-643527346182,1434098694901,,,,2019,11895078981.0,
5122725881742,4563607003936,1330706432193,1044533670783.0,1293046469349.0,1590630001207,1897667702597,1821964121936,9464815678256.0,3900356540398,3329041908478,696597353367,6475090147420.0,1581200188772,2989725530836.0,5321444270673,5264114375095,4251094647282,4242318189013,1070349623391,1021796186082,666812996876,683094152644,243947058546,165225934743,171816710617,164739761653,434749594569,-298733677419,1833751118380,,,,2020,112406321621.0,
6283537818480,5122725881742,2528070087946,1037054626096.0,1044533670783.0,1604806987748,1898105048192,1897667702597,11045830630560.0,4330103216575,3900356540398,782701299431,7114272103768.0,1812009850367,3931558526792.0,96742910899,123989579698,5119789844061,4251094647282,1295298088286,1070349623391,737829552776,666812996876,383046885903,243947058546,405340847051,301762016281,990006043035,-607074381744,1503028743609,,,,2021,194400268844.0,
8589056321089,6283537818480,3043178646369,1441457863210.0,1037054626096.0,2014204234096,2986898714915,1898105048192,15157301978809.0,8270093645238,4330103216575,1589273275693,11233518424948.0,2020052077863,3923783553861.0,198358282210,77558581047,5190306443615,4522973114016,1349299373957,1018416027255,818504939656,620326966768,377215126599,277093289882,174616406341,152027954710,1524327091276,-1224902801445,1752235922106,,,,2022,221328793493.0,
9192041562885,8507711423519,1806358649283,,,2868571514248,3410331686890,3018017026599,,12076597878814,8222937467473,2538079878982,,2627417653580,19542899925708.0,143153488613,209815197662,7221204757399,5548604179441,2137801223910,1511789030543,1137229139399,907681546844,691114682400,400345423224,237850535351,976918345793,1390220003982,-3029123757458,2596755842734,,,,2023,110326533225.0,
22867968340831,9192041562885,2967733422929,,,6290309306251,8319912257726,3410331686890,,25516144577239,12076597878814,6117727028303,,4746520391010,,1489464089069,107531271097,8370268279539,6461534940699,2869853204579,1428151864012,1036021042102,734845022544,1731878825342,594306103916,136136191571,2539873460538,1392972633695,-1367342115648,8462532799585,,,,2024,83134226124.0,
30705420001000,22981709617000,7713355500000,,,7741657563000,9524442060000,8385865551000,53953669604000.0,29976396731000,25516144576000,6982167457000,,5982735731000,,343002222000,1489464089000,21252440665000,8370268280000,5450460584000,2869853204000,2065715813000,1036021042000,3089320181000,1731878825000,7890188000,2201983086000,4049804576000,-4020776409000,8486521229000,,,,2025,5130998847000.0,489672629000.0
