current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,short_term_investments
434916616633,355544466687,144098268610,35836895208,474898684607,469876934877,1460376646689,288030525001,328307397955,0.0,360431279243,1040420682965,1099945367446,1830176817492,1799570545493,1280843141393,1263417750093,549333676099,536152795400,343655893344,363594523551,205677782755,172558271849,186165903364,140545797702,273180864514,-213542766796,,,,2016,
575318467890,434916616633,171114297200,41173539280,462426324215,474898684607,1581536979425,292782419691,288030525001,0.0,373699476551,1148521528923,1207837502874,1942266128227,1830176817492,1375981177734,1280843141393,566284950493,549333676099,363710593472,343655893344,202574357021,205677782755,191405579053,143326119882,294205564106,-224714171558,,,,2017,
661458369200,575318467890,147433369018,42945860207,459228549548,462426324215,1682854294128,306091321734,292782419691,,420536577941,1203001155778,1262317716187,2018339270821,1942266128227,1471226712524,1375981177734,547112558297,566284950493,347984428593,363710593472,199128129704,202574357021,198561919083,102968774594,236971524260,-176158462216,,,,2018,
733183785854,661458369200,200582005633,41408117836,470234331887,459228549548,1794959719010,384081210878,306091321734,,467353241485,1267598907044,1327606477525,2151521516402,2018339270821,1607782232754,1471226712524,543739283648,547112558297,346917276995,347984428593,196822006653,199128129704,192454009860,146641281537,279831501105,-123591644604,,,,2019,
797744555439,733183785854,213172898180,43992867397,469575844787,470234331887,1906689693022,412945796807,384081210878,,522505040984,1324033322914,1384184652038,2223340509340,2151521516402,1672120747514,1607782232754,551219761826,543739283648,346757073614,346917276995,204462688212,196822006653,187377371404,142089584874,346419033180,-229876055066,,,,2020,
864355191815,797744555439,218899850568,16080983712,478304508094,469575844787,1972972502257,417273343011,412945796807,,530076697754,1378586893437,1442895804503,2312489059004,2223340509340,1756970435411,1672120747514,555518623593,551219761826,375853679446,346757073614,179664944147,204462688212,170743106951,128990896403,333298813818,-223397173258,,,,2021,485527449393.0
950422185740,864355191815,238856121359,17702423813,474713277975,478304508094,2075658595502,444737224516,417273343011,,552669332935,1460752209838,1522989262567,2467960276573,2312489059004,1876917910496,1756970435411,591042366077,555518623593,386903461787,375853679446,204138904290,179664944147,200760270160,151030832821,277448190365,-151570872498,,,,2022,428400000000.0
1096505825046,950422185740,241861776471,16004323528,473117918334,474713277975,2179505358177,469223945057,444737224516,,581598589518,1535056142631,1597906768659,2620810541515,2467960276573,2003912115995,1876917910496,616898425520,591042366077,404289104836,386903461787,212609320684,204138904290,26781942036,189480545869,368354305337,-260168309769,,,,2023,439000000000.0
1221725877876,1096505825046,213054477543,16518436997,480346507030,473117918334,2322698505650,496652905477,469223945057,,662027523939,1596379785714,1660670981711,2804739466536,2620810541515,2164888638903,2003912115995,639850827633,616898425520,430603753756,404289104836,209247073877,212609320684,44680225250,176718837100,376613925478,-294612931313,,,,2024,771917912000.0
1327702601377,1221725877876,217937111676,13251006744,487564743167,480346507030,2431985312121,512810149530,496652905477,,675654511326,1692220309458,1756330800795,2889412422255,2804739466536,2210514793020,2164888638903,678897629235,639850827633,444331137606,430603753756,234566491629,209247073877,61043407213,178563436607,368598850300,-253057834695,,,,2025,1004298002000.0
