current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,revenue,prev_revenue,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,short_term_debt,long_term_debt,roe,debt_ratio,opm,year
,,3051353000000,,,,,,177837042000000,,,104786497000000,53173871000000,60190384000000,58957722000000,73050545000000,,,,,,,12001599000000.0,11346732000000.0,,7148327000000.0,16520552000000,8881273000000,,-9645870000000,,,,,,2016
,,2369739000000,,,,,,181788915000000,,,108824274000000,53370558000000,59814862000000,60190384000000,72964641000000,,,,,,,,,,1441394000000.0,11249894000000,9660039000000,,-12606699000000,,,,,,2017
,,1358345000000,,,,,,185249061000000,,,114156299000000,51519119000000,60627610000000,59814862000000,71092762000000,,,,,,,,,,-1174498000000.0,6680132000000,9905856000000,,-13014301000000,,,,,,2018
,,1810129000000,,,,,,197597792000000,,,128708143000000,49202133000000,59172890000000,60627610000000,68889649000000,,,,,,,,,,-2263535000000.0,8213428000000,10971825000000,,-13499358000000,,,,,,2019
,,2029584000000,,,,,,203142111000000,,,132475265000000,51133601000000,58569314000000,59172890000000,70666846000000,,,,,,,,,,2092469000000.0,13208473000000,11377553000000,,-14831811000000,,,,,,2020
,,2635238000000,,,,,,211108870000000,,,145797021000000,45246982000000,60574819000000,58569314000000,65311849000000,,,,,,,,,,-5229225000000.0,4473186000000,11772111000000,,-12354328000000,,,,,,2021
,,3234780000000,,,,,,234804994000000,,,192804738000000,21431300000000,71257863000000,60673587000000,42000256000000,,,,,,,,,,-24429108000000.0,-23477500000000,12305252000000,,-14953753000000,,,,,,2022
,,4342887000000,,,,,,239714965000000,,,239714965000000,16338262000000,88219461000000,71257863000000,37264750000000,,,,,,,,,,,1522162000000,101550000000,,-13073757000000,,,,,,2023
,,2382979000000,,,,,,246807795000000,,,246807795000000,20128247000000,93398896000000,88219461000000,41362833000000,,,,,,,,,,3621968000000.0,15876116000000,60309000000,,-14093107000000,,,,,,2024
,,2240811000000,,,,,,254927457000000,,,254927457000000,28500584000000,97429346000000,93398896000000,49322944000000,,,,,,,,,,8666656000000.0,20880154000000,83001000000,,-18445453000000,,,,,,2025
