accounts_receivable,prev_accounts_receivable,ppe_net,prev_ppe_net,current_assets,prev_current_assets,cash,inventory,total_assets,retained_earnings,total_equity,long_term_debt,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,equity_corrected
,,,,,,66306978853,,1967707893346,1179735672647,1183343758557.0,,,,,784364134789,2376328167259,2315242282662,,,,,,,338797453029.0,463339186676.0,,243311232107,357544315166,-367497963106,,,,2016,
,,,,,,110298033482,,2158873074812,963027305560,982256529541.0,,,,,1176616545271,2516772498930,2376328167259,,,,,,,,,,325607409036,553585083431,-289677467354,,,,2017,
,,,,,,69353967482,,2378903077059,966816786565,1087698232417.0,,,,,1291204844642,2707315204077,2516772498930,,,,,,,,,,349811489109,539129777646,-393514165282,,,,2018,
,,,,,,60540530995,,2854954793880,953976131459,1077195584534.0,,,,,1777759209346,3018912502707,2707315204077,,,,,,,,,,332207676536,539259580627,-383103614579,,,,2019,
,,,,,,115815623716,,3029023072502,1365152148740,1490008891206.0,,,,,1539014181296,3237411475094,3018912502707,,,,,,,,,,404710859650,562839088058,-323061319158,,,,2020,
,,,,,,73126543714,,3800627982540,1757327741694,1904437681959.0,,,,,1896190300581,3664259556788,3237411475094,,,,,,,,,,465486095093,331286871722,-367756793635,,,,2021,
,,,,,,115935470233,,4365074875331,2161480565823,2311968716798.0,,,,,2053106158533,3856132895084,3664259556788,,,,,,,,,,457795616474,164458234709,-282111225726,,,,2022,
,,,,,,260275917324,,4850965736396,2503183345188,2637754784464.0,,,,,4850965736396,3966519721923,3856132895084,,,,,,,731255078054.0,677378551681.0,,471011104871,448949188599,-272326033354,,,,2023,
,,,,,,128994283729,,5761561091079,2964216507011,,,,,,2565445323713,4310141694596,3966519721923,,,,,,,795373861343.0,731255078054.0,,565452186637,330339058184,-243010249313,,,,2024,
,,,,,,182190550994,,7000122151656,3354598204071,,,,,,3386394640587,4963566073111,4310141694596,,,,,,,878651769382.0,795373861343.0,,617510076654,35544145039,-237987508742,,,,2025,
