current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,roe,debt_ratio,opm,year,sga_expense,prev_sga,depreciation
397319200901,387342971611,71216487646,276636941971,270025678549,3413353032,150615541192,159406258561,662199650758,260610571503,294840771636,2171795040,0,287383768957,75105674288,374815881801,866893880605,840545681528,748695814374,742011201701,118198066231,98534479827,52249217693,13968816472,35912446342,37558729472,7423628017,-15289455989,51725673,,,,2016,,,
379477934633,397319200901,59284097826,277500822860,276636941971,1084861714,152814115585,150615541192,646301318785,212809735571,260610571503,1677716932,76603000,246065698255,100624968737,400235620530,950592312530,866893880605,820313449195,748695814374,130278863335,118198066231,56071083954,52249217693,47538521215,41996484797,22187000650,-25769294374,1035223652,,,,2017,74207779381.0,65948848538.0,
342215091162,379477934633,51004149457,197298080114,191525427012,1387028834,146336297334,152814115585,610232471497,218400066912,212809735571,1668211200,76603000,271039578383,41566742049,339192893114,927076974004,950592312530,812872650074,820313449195,114204323930,130278863335,42133726169,56071083954,-40130240549,0,29496407699,-26265982519,-3844557386,,,,2018,,,
453829005436,342215091162,97735816378,237388957184,197298080114,2065769623,118946126913,146336297334,675419399549,268536477191,218400066912,1386208717,76603000,309150208218,68712826845,366269191331,969787009533,927076974004,838048894684,812872650074,131738114849,114204323930,48101224987,42133726169,52805644683,39675367921,63834635178,-7751260608,1244972388,,,,2019,,,
479765665587,453829005436,137287016483,222886560500,237388957184,5540312950,112880585587,118946126913,684444510737,288478113747,268536477191,982554997,76603000,314481678466,71702076902,369962832271,964202340142,969787009533,851001669838,838048894684,113200670304,131738114849,26087467478,48101224987,16337408554,8996905609,65554811247,-16479963774,22159430184,,,,2020,,,8665288176.0
441810639746,479765665587,29621367106,241319920206,222886560500,3496020444,109296309081,112880585587,646969959736,275742799840,288478113747,711452839,76603000,287766033952,58980893170,359203925784,869274143659,964202340142,768541324266,851001669838,100732819393,113200670304,-19477262841,26087467478,-15266024320,-13923043578,-51913027153,-47320549949,-6810913832,,,,2021,,,27571845194.0
603491896789,441810639746,32014522081,330416444253,241319920206,32219575113,107849367851,109296309081,851593785984,431131515113,275742799840,381791370,76603000,437601276125,114937061618,413992509859,1152680199426,869274143659,1019604931423,768541324266,133075268003,100732819393,64668494002,-19477262841,60786831559,45850938928,-3942810359,16174478411,635617332,,,,2022,,,499182890.0
661855691387,603491896789,60162678094,348754438121,330416444253,19082720969,114276328948,107849367851,889807220460,421366947879,431131515113,0,76603000,428357838257,163313304743,461449382203,4632838101,605281494,1297818860055,1019604931423,188056760875,133075268003,110563784581,64668494002,20889512658,92128228460,21821037018,19263833901,29809361928,,,,2023,,,3420202195.0
676687634640,661855691387,129180234831,299985694837,348754438121,18294772530,120085024084,114276328948,892453016139,355027712350,421366947879,0,0,892453016139,222424226845,525897500876,1473290670631,1485875620930,1285767718598,1297818860055,187522952033,188056760875,108991969223,110563784581,29909793146,88599060003,97799461517,-12602670633,0,,,,2024,78530982810.0,77492976294.0,
611989985049,676687634640,246949912811,227026207770,299985694837,13088704175,114933544241,120085024084,834391536739,251651441174,355027712350,0,76603000,834391536739,269479032660,572559763845,1075175363044,1473290670631,946122092115,1285767718598,129053270929,187522952033,60388586087,108991969223,16219578600,52623905401,145951092070,-6201476923,0,,,,2025,68664684842.0,78530982810.0,
