year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum,pead_updated_at
2020,Q4,26087467478,48101224987,964202340142,969787009533,26087467478,964202340142,-0.0058,-0.4577,0.0,-0.4779,-1.0,
2021,Q4,-19477262841,26087467478,869274143659,964202340142,-19477262841,869274143659,-0.0985,-1.7466,0.0,-0.7774,-1.0,
2022,Q4,64668494002,-19477262841,1152680199426,869274143659,64668494002,1152680199426,0.326,4.3202,0.0,0.8963,1.0,
2023,Q4,110563784581,64668494002,4632838101,1152680199426,110563784581,4632838101,-0.996,0.7097,0.0,0.5867,1.0,
2024,Q1,35183415575.0,0,440116679815.0,0.0,35183415575.0,440116679815.0,0,35183415575.0,0.0,0.0,0.0,
2024,Q2,24344939998.0,0,353016292156.0,0.0,24344939998.0,353016292156.0,0,24344939998.0,0.0,0.0,0.0,
2024,Q3,26295941282.0,0,318555516361.0,0.0,26295941282.0,318555516361.0,0,26295941282.0,0.0,0.0,0.0,
2024,Q4,108991969223,110563784581,1473290670631,4632838101,108991969223,1473290670631,317.0104,-0.0142,0.0,-0.0276,-1.0,
2025,Q1,22864493398.0,0,296780188932.0,0.0,22864493398.0,296780188932.0,0,22864493398.0,0.0,0.0,0.0,
2025,Q2,17081846937.0,0,272857095032.0,0.0,17081846937.0,272857095032.0,0,17081846937.0,0.0,0.0,0.0,
2025,Q3,21659261676.0,0,244723536287.0,0.0,21659261676.0,244723536287.0,0,21659261676.0,0.0,0.0,0.0,
2025,Q4,60388586087.0,108991969223.0,1075175363044.0,1473290670631.0,60388586087.0,1075175363044.0,-0.4459,-0.4459,0.0,-0.4714,-1.0,2026-04-17T17:05:48.482677
