current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,revenue,prev_revenue,income_tax,net_income,cash_from_operations,depreciation,interest_expense,accounts_receivable,prev_accounts_receivable,capex,short_term_investments,short_term_debt,roe,debt_ratio,opm,year
,,2269177234171,,,,41915906500152,,,,24651864607475,11995610433739,17264041892677,,,,,,,940360642219,853713007920,,,,246874755082,1506866591538,835966612210.0,,,,-968372685423,1940735113128,,,,,2016
,,2626243925953,,,,27948488049082,,,,14597135456810,11730312514167,13351352592272,,,,,,,529859135791,763326206410,,,,-443545698446,1569311966798,,,,,-1263239164298,1126336282920,,,,,2017
,,1818473007915,,,,26259308858206,,,,13831935992803,10991567194372,12427372865403,,,,,,,597003598572,801038446672,,,,-254278382387,173274991774,1034747693.0,,,,-286609895234,1202795814025,,,,,2018
,,1586592082626,,,,33972615751676,,,,22181607402723,9910184246799,11791008348953,,,,,,,427910873611,597003598572,,,,-883680656055,1636785011643,1744395592.0,,,,-1041054974526,1263774021076,,,,,2019
,,1913235610358,,,,32829404196405,,,,21740641629099,9176601093411,11088762567306,,,,,,,346084471821,427910873611,,,,23679056399,1489939445522,2320835748.0,,,,-598134552748,1690345456806,,,,,2020
,,2398788978689,,,,33426533819002,,,,21629527142066,8996636841881,11797006676936,,,,,,,207602693266,346084471821,,,,0,1828098311634,731653172.0,,,,201013870866,2278930265743,,,,,2021
,,1800809705742,,,,31703575873070,,,,20668459087068,8641202573997,11035116786002,,,,,,,386225594610,207602693266,,,,0,1627838230821,2684604113.0,,,,-623455871497,2125192688656,,,,,2022
,,1589717984770,,,,30644698696537,,,,19808248977726,8630122588229,10836449718811,,,,,,,508404731640,386225594610,,,,169180436381,1639812977926,8731679390.0,,,,-198923684759,2739176001649,,,,,2023
,,1554846752455,,,,39003044584713,,,,21969427278570,7497657188328,17033617306143,,,,,,,473113964780,508404731640,,,,-994075271502,1587898651997,42221884690.0,,,,-1067564078537,1755659294089,,,,,2024
,,571525104252,,,,37910298847681,,,,21044102609491,7440521126282,16866196238190,,,,,,,547037221095,473113964780,,,,73555557525,1723750652721,44972070556.0,,,,-870928043785,1161910147946,,,,,2025
