current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,revenue,prev_revenue,total_equity,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,depreciation,capex,roe,debt_ratio,opm,year,cost_of_goods_sold,prev_cogs
209901118347,215385494536,26578923397,7075000000.0,27222926009,17471455995,23584873945,91324584151,83578393885,567569888187,235521245104,70845394344,189029155258.0,5600000000,248490552518,91584564989,89871650149,35338667538,319079335669,81052940383,72360861929,32320625925,27259704472,61183968696,54180519943,62086998868,51001541543,25257525875,10971286375.0,4714572709.0,-40703323487,,,,2016,,
284841268022,209901118347,50890944942,138591126495.0,44692824702,27222926009,42797402317,129257593970,91324584151,746857715191,278243175890,235521245104,158407014887.0,32599913883,354634986062,115643419403,91888369209,89871650149,392222729129,108091373724,81052940383,46293315018,32320625925,81763630838,61183968696,67628454059,51663997610,68303392336,9893789267.0,6418718207.0,-66274733145,,,,2017,382473889489.0,249385648523.0
230116597522,284841268022,69801977884,17367764447.0,54437305340,44692824702,51856950956,143079715486,129257593970,881687299219,216934404903,278243175890,111335637295.0,72663614132,386264958712,171088865971,114483101939,91888369209,495422340507,131621844680,108091373724,47525609197,46186223587,94813057890,81763630838,111343708780,90232664180,38455787298,9370085782.0,607422858.0,-74041366603,,,,2018,430074276626.0,300236371312.0
307051619894,230116597522,102727125443,31606369864.0,57411032665,54437305340,71747048927,230982933908,143079715486,1095090642159,349397574799,216934404903,191097730345.0,92710801408,491312220825,209272054529,110765790736,114483101939,603778421334,138014490458,131621844680,43700887899,47525609197,101154933758,94813057890,90584792662,72236250997,84102124993,12582584409.0,1312340956.0,-134418455289,,,,2019,455419311923.0,430074276626.0
405874425055,307051619894,198283011650,13610000000.0,-10962636259,-3870398589,67700272443,224788208069,230982933908,1218505783282,362502662782,349397574799,142281372545.0,47987355239,430896726821,315184365954,170529895440,107716298467,787609056461,150290271105,102115843177,44562567218,26043889966,157504827481,81886084099,228271635031,155093196201,83326142690,13530390963.0,2464069.0,89108738971,,,,2020,525189975239.0,397422771914.0
319849775246,405874425055,114472224332,68948958905.0,27106792188,-10962636259,79435842378,272338715185,224788208069,1209726177916,301085704487,362502662782,184011789655.0,27875702555,355074425236,329466484389,112009085886,170529895440,854651752680,142138557237,150290271105,61196304582,44562567218,88372029876,157504827481,87454193664,58643455893,15327485531,7988953893.0,1481390699.0,-115567679514,,,,2021,531867444888.0,525189975239.0
343129856216,319849775246,109367604736,67733001628.0,-7281390851,27106792188,90777716889,278014606949,272338715185,1269102053314,340472867793,301085704487,245274131743.0,53660221366,418764073414,322029792044,37054965344,112009085886,850337979900,109584765109,142138557237,67902265001,61196304582,33000195009,88372029876,36396108049,13023596377,-11348009543,11603790499.0,181388632.0,-45014901079,,,,2022,540294803646.0,531867444888.0
294184203556,343129856216,60508299988,160660426461.0,4221269512,-7281390851,93883141335,321856719459,278014606949,1289735866717,321677119874,340472867793,,40678712352,473544596344,305421346373,15132268229,37054965344,816191270373,100157810664,109584765109,79174610345,67902265001,16871130187,33000195009,2026855149,6049009666,43903567283,13076442238.0,1878365186.0,-80247493217,,,,2023,537116511926.0,540294803646.0
288536518698,294184203556,71195274773,,40033198632,34508522220,72247478628,341977937023,321856719459,1291431788085,393940927189,321677119874,,43982394092,1291431788085,350833389918,8704924818,3550456213,815108708643,111879158761,100157810664,94426698928,81052975531,38118710023,16871130187,-9017969875,33395004283,39504064427,,,-5779365400,,,,2024,564784022902.0,537116511926.0
278919708116,288536518698,107565116932,,35178721382,40033198632,78475162394,290623367748,341977937023,1294403010587,329667440165,393940927189,,38693877858,1294403010587,364488696928,630111809477,676663181663,806907204020,112166963689,111879158761,95504053136,94426698928,47742544330,38118710023,8659369224,11144466434,31026274937,,,23750462669,,,,2025,517944845788.0,564784022902.0
