current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,interest_expense,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation
3644436243785,3761388115805,882178524714,75622152530,942085420442,736242797999,656813250798,686541360254,5509420275939,4312699197176,4783755868989,720770651584,730836250000.0,4522703651340,-207257835268,986716624599,7010541652838,6441250861164,6527491652787,7530302890643,483050000051,-1089052029479,411886034667,365282462137,71163965384,-1454334491616,26969890577.0,57483290650,10265144707,187923501935,94355815551,,,,2016,
3283029357351,3644436243785,745120509227,72806923065,1311634318418,942085420442,426764584262,656813250798,5072834607049,3695615082250,4312699197176,928885963497,121000000000.0,4096742793425,141017617642,976091813624,5513446635564,7010541652838,5177200864043,6527491652787,336245771521,483050000051,314529790208,411886034667,21715981313,71163965384,24865396591.0,-54827575962,-71232488084,-134040755349,-15242401006,,,,2017,
2952247503442,3283029357351,369360460705,51245795834,1383112328811,1311634318418,397918403598,426764584262,4619648609526,3378225878557,3695615082250,438544447282,80000000000.0,3621792741484,197768076874,997855868042,5466957803292,5513446635564,4928694227804,5177200864043,538263575488,336245771521,341867250818,314529790208,196396324670,21715981313,41761082208.0,160492191400,62855609957,446248383510,20693958053,,,,2018,152345000.0
2901788916958,2952247503442,589512193537,150447557460,1214759547269,1383112328811,428010737795,397918403598,4565711799514,2977490493635,3378225878557,148179055013,0.0,3270525561644,518602995113,1295186237870,6392058453386,5466957803292,5592595279986,4928694227804,799463173400,538263575488,376745676733,341867250818,422717496667,196396324670,15824802982.0,437779765527,323809854401,784124248896,-147210896598,,,,2019,101850000.0
3135849998310,2901788916958,747991437420,54906465148,1126114536976,1214759547269,438293169323,428010737795,4755575903078,2961081111463,2977490493635,232552740071,0.0,3173840384709,688893202809,1581735518369,6749174145123,6392058453386,6076895398640,5592595279986,672278746483,799463173400,311096074112,376745676733,361182672371,422717496667,9367732871.0,351849975564,252135563290,44368719200,73419554723,,,,2020,31600000.0
4442487368675,3135849998310,1138310713309,205660828931,1798880827136,1126114536976,446786683500,438293169323,6058722396874,3852685466439,2961081111463,40848588032,0.0,4098204678539,1011607149506,1960517718335,7486696121177,6749174145123,6625376322654,6076895398640,861319798523,672278746483,358030991176,311096074112,503288807347,361182672371,5112072598.0,529538450784,351071466376,739825439031,-201253407255,,,,2021,32775000.0
5947655470530,4442487368675,1412070576945,598211141165,2130581188104,1798880827136,437334212461,446786683500,7848723222714,5013013164226,3852685466439,231871003332,,5271682815759,1676536258197,2577040406955,10054344625186,7486696121177,8973419011550,6625376322654,1080925613636,861319798523,377982619448,358030991176,702942994188,503288807347,14646748935.0,715715164329,595319035026,576706460947,-528754532200,,,,2022,67135000.0
5965342032534,5947655470530,915023632645,555673663504,2101194980427,2130581188104,429722103963,437334212461,7801398613122,4216949491567,5013013164226,119330640031,,7801398613122,2430354736590,3298338295974,10624917993595,10054344625186,9174156157542,8973419011550,1450761836053,1080925613636,457632969865,377982619448,993128866188,702942994188,22877033888.0,237025430972,695607943011,-459792198902,16438514312,,,,2023,87920000.0
7941890024257,5965342032534,2595674599832,502964518566,3504750561009,2101194980427,443361791659,429722103963,10013337796132,5871110579495,4216949491567,-19093213760,103600000000.0,10013337796132,3187284070746,3895741786193,9966551344477,10624917993595,8457376702309,9174156157542,1509174642168,1450761836053,537562956151,457632969865,971611686017,993128866188,14093324874.0,265104881593,638672451980,1635836692152,-49656151552,,,,2024,156780000.0
7659197467345,7941890024257,861796626374,2010234335310,2918247972841,3504750561009,507485359693,443361791659,10039557572475,5258678217510,5871110579495,0,,5593370097294,3675405069350,4446187475181,216258167121,235023138580,7694872910652,8457376702309,1333896172998,1509174642168,541817326106,537562956151,792078846892,971611686017,,182126702641,648307939623,254433358974,-1709116071579,,,,2025,365880000.0
