current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,inventory
1794811641336,1463892864873,372554201132,49323382503,1186877258358,928950262630,102815063352,94271591594,2151431626766,1244899317911,1004315787475,19033213964,454330721.0,1375147031541,996238561398,776284595225,3232593889361,2806713644157,847885556830,821452163969,149549495972,127217996268,127824203677,90648134120,101351735630,-34573467760,,,,2016,
1889096062033,1794811641336,327890843829,37971942642,1264984240547,1186877258358,95281141010,102815063352,2238293234650,1281293113647,1244899317911,13006280362,339997770.0,1382305189152,1093421588002,855988045498,3374986899177,3232593889361,856009825357,847885556830,156535958167,149549495972,165325011808,128372886212,39090197987,-14555725050,,,,2017,
1801626035741,1889096062033,367821461092,80339768380,1177068861701,1264984240547,97103353487,95281141010,2172078163752,1165741411592,1281293113647,14381273140,3209551427.0,1279285333281,1142880791602,892792830471,3477880993833,3374986899177,901653924275,856009825357,181096627404,156535958167,190455474722,131868993213,224014016081,-87538962456,,,,2018,39751588481.0
1769877348729,1801626035741,408101219973,91227580312,1082349568039,1177068861701,93540375923,97103353487,2252767351901,1098230748081,1165741411592,14059229501,0.0,1295951762449,1195750335158,956815589452,3421672988229,3477880993833,959116203179,901653924275,205813034039,181096627404,209814354719,139453304163,200015098571,-24100408089,,,,2019,30723251381.0
1742270281003,1769877348729,370170532923,179171925260,1010194193352,1082349568039,82251984431,93540375923,2242463952194,1063894707998,1098230748081,14071391589,74120000.0,1226934683114,1271602684236,1015529269080,2747921881024,3421672988229,899539438372,959116203179,204917149866,205813034039,196897413312,158280183551,219474826502,-111415204129,,,,2020,37859343900.0
2018598231188,1742270281003,504309067712,129171884834,1157979829123,1010194193352,81891346003,82251984431,2542111414363,1224222284836,1063894707998,12757601552,0.0,1414844027198,1345302741232,1127267387165,3325712307524,2747921881024,1031386336439,899539438372,248179540772,204917149866,259630284731,167599145195,249513810057,32947491547,,,,2021,36283772231.0
2193979019964,2018598231188,541109537570,74780118105,1386450696832,1157979829123,80902407153,81891346003,2751445128079,1335642465029,1224222284836,13956749252,0.0,1530015562245,1440647598093,1221429565834,4253367260000,3325712307524,1226936888597,1031386336439,311412761580,248179540772,300435028812,195834422990,184163142560,16405678836,,,,2022,56469921724.0
2372420112567,2193979019964,607166631394,64621775822,1474324868060,1386450696832,84917348872,80902407153,2889504607291,1375033434074,1335642465029,7701022750,0.0,1591740851472,1503141447620,1297763755819,4138274796031,4253367260000,1311415179323,1226936888597,307522766415,311412761580,94701074015,190121613120,266698725632,-7489350867,,,,2023,53060247535.0
2723977664902,2372420112567,705204567995,123872412314,1642349537964,1474324868060,91787027763,84917348872,3306550192963,1564856744000,1375033434074,4189500000,,3306550192963,1587141489593,1474033393149,4344256680956,4138274796031,1406742464382,1311415179323,320720587990,307522766415,105152878250,208342984365,346397436401,-78497500486,,,,2024,60506191885.0
2880954863027,2723977664902,622369326472,216919787330,1802488884245,1642349537964,94541043196,91787027763,3587816549320,1627926254380,1564856744000,4043255307,2869800000.0,3587816549320,1689819080606,1588049835355,4546894943227,4344256680956,1523031061369,1406742464382,336889964137,320720587990,96112434677,208612517893,212279534936,-107480163046,,,,2025,46277339511.0
