current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,roe,debt_ratio,opm,year,accounts_receivable,prev_accounts_receivable,short_term_debt,long_term_debt,depreciation
,,2900311000000,,,,30587733000000,,,17792954000000,9656544000000,12794779000000,,,711089000000.0,410648000000.0,,797844000000,4770750000000,-3484958000000,293283000000.0,,,,2016,,,,,
,,1928182000000,,,,29580628000000,,,16504252000000,9854172000000,13076376000000,,,476744000000.0,711089000000.0,,561526000000,3877749000000,-3483245000000,,,,,2017,,,,,
,,2703422000000,,,,32188830000000,,,17457550000000,11328859000000,14731280000000,,,,,,762305000000,4010464000000,-2704130000000,0.0,,,,2018,,,,,255290000000.0
,,2305894000000,,,,34061292000000,,,18874339000000,11637185000000,15186953000000,,,1151065000000.0,1261522000000.0,,669347000000,3745173000000,-3887472000000,0.0,,,,2019,,,,,422637000000.0
,,2634624000000,,,,33662545000000,,,18111112000000,12155420000000,15551433000000,,,1184107000000.0,1159566000000.0,,703392000000,4739827000000,-3761470000000,,,,,2020,,,,,528746000000.0
,,3019592000000,,,,37159341000000,,,20592180000000,13287390000000,16567161000000,,,1671824000000.0,1184107000000.0,,1459395000000,5561834000000,-5137474000000,,,,,2021,,,,,690457000000.0
,,2449062000000,,,,40980681000000,,,22565958000000,14257343000000,18414723000000,,,1690088000000.0,1671824000000.0,,1387663000000,3597065000000,-4838643000000,,,,,2022,,,,,1046115000000.0
,,2879554000000,,,,42709982000000,,,24148845000000,14494430000000,18561137000000,,,1649774000000.0,1690088000000.0,,988718000000,5503289000000,-4620508000000,,,,,2023,,,,,1543663000000.0
,,3716680000000,,,,41879957000000,,,23883408000000,13779776000000,17996549000000,,,809471000000.0,1649774000000.0,,417094000000,5065796000000,-2845437000000,,,,,2024,,,,,1633074000000.0
,,3506971000000,,,,42948573000000,,,23490550000000,14964332000000,19458023000000,,,2469133000000.0,809471000000.0,,1836770000000,4941733000000,-4518311000000,,,,,2025,,,,,894655000000.0
