current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year
173120470609,239020803047,31875697734,30759833925.0,54515197396.0,64438607650,154039795369,214076811261,862635664808,105738512947,88769619956,37124952012,941207366,140561249864,416742411621,722074414944,294905605408,294379533411,209135215811,210783935462,85770389597,83595597949,41073240331,34136113840,40418168284,46153525561,38845272248,198963997320,42593340520,15915187441.0,674307679.0,-66493362237,,,,2016
194498656224,173120470609,39800231499,-23279271868.0,-16158466616.0,81331149220,177026916275,154039795369,1061203408859,200126558356,105738512947,123603608116,9018395528,245682701195,247520528301,815520707664,481986655227,294905605408,342142585840,209135215811,139844069387,85770389597,58235511723,41073240331,76308250767,40418168284,99357765397,80652243627,52899060286,18323976105.0,1787826210.0,-142730259315,,,,2017
180815514454,194498656224,37533292178,-6765831156.0,-23279271868.0,72982015475,212195894929,177026916275,1209057380780,134222792810,200126558356,64010000000,21438628,311440772376,319861865458,897616608404,500162428910,481986655227,350418925411,342142585840,149743503499,139844069387,65863869641,58235511723,78477065517,76308250767,114567751633,96369617518,75226928039,145395018.0,3819423778.0,-79390008047,,,,2018
189928923363,175741777912,40140453565,,,68802755414,265945850071,212195894929,1225200283131,220258425217,134996165520,72181508094,23104316,286598904239,352824277934,938601378892,450752790463,500162428910,313872349619,350418925411,136880440844,149743503499,66935765441,65863869641,61648854076,78477065517,62290507810,48981665695,95417772114,204239816.0,8312216439.0,9418235895,,,,2019
392039989367,189928923363,88269004002,,,145498862847,349905628300,265945850071,1607660655673,355750373003,220258425217,133122354809,22595976,493120674014,430814601415,1114539981659,645964626184,450752790463,474557411345,313872349619,171407214839,136880440844,72969698240,66935765441,86703656424,61648854076,118557858025,96912997365,110544902223,0.0,4543238333.0,-134836432973,,,,2020
504588828038,392039989367,132753745996,8099062387.0,972672000.0,196020285044,412455295085,361411591417,1944701749896,512981106473,355750373003,185306488148,0,620457782510,541196277595,1324243967386,844363923723,645964626184,620302050355,474557411345,224061873368,171407214839,110067858952,72969698240,91683503842,86703656424,159925035754,142889402929,81011416965,,,-62737829900,,,,2021
363309799710,504588828038,76627111970,,,170713268606,371758478588,413639540091,1815525982803,462128565778,512981106473,296044623067,51517410000,494371508160,648454064559,1321154474643,881011689232,667945595130,668298395905,487967859424,212713293327,179977735706,94538945750,77383711120,104998891405,90479025181,128664141464,102568539146,-3673855336,,,-140472704165,,,,2022
307924934631,363309799710,74012202690,,,104019292526,375083368690,371758478588,1825048417312,344245698551,462128565778,-119785756410,29750000000,1825048417312,614981030961,1317600355976,6096107540,18102859888,585638815108,668298395905,163888235027,212713293327,102573865303,94538945750,45774773657,104998891405,8600798524,-23801700755,132219033011,,,-135721982847,,,,2023
363038309672,307924934631,56867595640,,,92528433200,448798493123,399013247381,1890071698739,574057113202,344245698551,312353639236,120000000000,641601852997,543207545247,1248469845742,7526667961,6096107540,468230727062,585638815108,177241883424,163888235027,112519977675,102573865303,30614449862,45774773657,10300714673,-61062837204,101571501571,,,-151305114204,,,,2024
287899841307,363038309672,100930526344,,,72550529228,482361470011,448798493123,1969723238243,565296950619,574057113202,370834127921,30314266664,668479210572,572140390877,1301244027671,44596849679,7526667961,464816482210,468230727062,158175122030,177241883424,119918482423,112519977675,-418124396,30614449862,15998340836,50427053015,118085965498,,,-51416694876,,,,2025
