current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year
,,317283000000,,,,,,11989117000000,,,,,7162789000000,1414078000000,4826328000000,,,,,,,746483000000,632331000000,,492739000000,2224768000000,1473745000000,,-1492349000000,,,,2016
,,449879000000,,,,,,11935453000000,,,,,6702467000000,1820562000000,5232986000000,,,,,,,826295000000,746483000000,,547118000000,2279431000000,1444138000000,,-1358295000000,,,,2017
,,378631000000,,,,,,13939948000000,,,,,7086579000000,3447171000000,6853369000000,,,,,,,730945000000,826295000000,,481609000000,2069439000000,1428565000000,,-1593572000000,,,,2018
,,474365000000,,,,,,17941050000000,,,,,10591434000000,3673570000000,7349616000000,,,,,,,686244000000,740733000000,,440911000000,2252600000000,1756997000000,,-3214344000000,,,,2019
,,726179000000,,,,,,18350190000000,,,,,10698976000000,3968550000000,7651214000000,,,,,,,886151000000,686244000000,,252560000000,2548551000000,2026038000000,,-2615639000000,,,,2020
,,770318000000,,,,,,19370515000000,,,,,11411957000000,4364076000000,7958558000000,,,,,,,979014000000,886151000000,,724218000000,3404503000000,2071100000000,,-2944805000000,,,,2021
,,834608000000,,,,,,19774800000000,,,,,11325133000000,4866522000000,8449667000000,,,,,,,1081260000000,979014000000,,662588000000,3504980000000,2094995000000,,-2866689000000,,,,2022
,,559554000000,,,,,,20100605000000,,,,,20100605000000,5167580000000,8756785000000,,,,,,,998031000000,1081260000000,,630241000000,2974990000000,103694000000,,-2998197000000,,,,2023
,,896209000000,,,,,,19707730000000,,,,,10939351000000,5203953000000,8768379000000,,,,,,,863130000000,998031000000,,314602000000,3335301000000,206778000000,,-2390775000000,,,,2024
,,794318000000,,,,,,19681792000000,,,,,10614265000000,5474436000000,9067527000000,,,,,,,892131000000,863130000000,,509226000000,2963757000000,184183000000,,-2019347000000,,,,2025
