ppe_net,prev_ppe_net,accounts_receivable,prev_accounts_receivable,current_assets,prev_current_assets,inventory,cash,total_assets,revenue,prev_revenue,retained_earnings,total_equity,long_term_debt,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
,,,,,,,673472602359,9729918447913,,,1552632915172,7054891793589,,,,,2675026654324,,,,,,,,,,1203742346800,1488813403573,-626544994745,,,,2016
,,,,,,,715116842650,10020315626764,4667193482245.0,4468855746161.0,1721704061134,7860184134872,,,,,2160131491892,,,,,,,,,,1211446576020,1141485070797,-669247068047,,,,2017
,,,,,,,932969110015,10197870417450,4471515592060.0,4667193482245.0,1605334484861,8168203816035,,,,,2029666601415,,,,,,,,,,903359164406,822057208886,-46256069305,,,,2018
,,,,,,,891306145983,10752439455974,4963202297002.0,4471515592060.0,1834645992314,8739585488284,,,,,2012853967690,,,,,,,,,,1037198624955,1042489387291,-459190546007,,,,2019
,,,,,,,1253611491485,11468383152160,5301617653949.0,4963202297002.0,2102474813562,9091571656245,,,,,2376811495915,,,,,,,,,,1171643099110,1261664798427,-85834706383,,,,2020
,,,,,,,946570845404,11637271194200,5228351596536.0,5055311487897.0,2060255463296,9208862153052,,,,,2428409041148,,,,,,,,,,971758744656,1419821288927,-797609538428,,,,2021
,,,,,,,1401018438794,12301715783797,5851406367817.0,5228351596536.0,2251940435833,9358580031392,,,,,2943135752405,,,,,,,,,,1005327163465,887886606991,547543866531,,,,2022
,,,,,,,1031953000000,12772452000000,,,1692239000000,9294935000000,,,,,3477517000000,,,,,,,1167336000000.0,1267650000000.0,,922361000000,1265993000000,-848296000000,,,,2023
,,,,,,,1135968000000,13925237000000,,,1604517000000,9358465000000,,,,,4566772000000,,,,,,,1188814000000.0,1167336000000.0,,1164999000000,822275000000,-529726000000,,,,2024
,,,,,,,913503000000,14189127000000,,,1723397000000,9336169000000,,,,,4852958000000,,,,,,,1343666000000.0,1188814000000.0,,1102316000000,582875000000,101054000000,,,,2025
