current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,revenue,prev_revenue,capex,short_term_debt,long_term_debt,roe,debt_ratio,opm,year
,,1558696000000,,,,,,24884336000000,,,11421948000000,9004283000000,13462388000000,,,,,,,,931508000000.0,3640906000000,2643445000000.0,,,-3189182000000,,,,,,2016
,,2602560000000,,,,,,29159687000000,,,14178177000000,10621571000000,14981510000000,,,,,,,,1937052000000.0,6764201000000,2791883000000.0,,,-6481072000000,,,,,,2017
,,2365022000000,,,,,,33175710000000,,,18289464000000,10239965000000,14886246000000,,,,,,,,-179443000000.0,4484123000000,3123659000000.0,,,-7675339000000,,,,,,2018
,,3336003000000,,,,,,35574563000000,,,23086282000000,7503312000000,12488281000000,,,,,,,,-2872078000000.0,2706545000000,,,,-6755393000000,,,,,,2019
,,4218099000000,,,,,,35071523000000,,,22334584000000,7524297000000,12736939000000,,,,,,,,-70636000000.0,2286948000000,,,,-2319316000000,,,,,,2020
,,3541597000000,,,,,,38154515000000,,,23392014000000,8541521000000,14762501000000,,,,,,,,1333544000000.0,5753446000000,,,,-4263080000000,,,,,,2021
,,1824649000000,,,,,,35686019000000,,,24366792000000,5359769000000,11319227000000,,,,,,,,-3195585000000.0,3011020000000,,,,-6700169000000,,,,,,2022
,,2257522000000,,,,,,35759298000000,,,35759298000000,2676014000000,8770544000000,,,,,,,,-2576729000000.0,1682748000000,,,,-2589336000000,,,,,,2023
,,2021640000000,,,,,,32859566000000,,,32859566000000,-18512000000,8072807000000,,,,,,,,,2411761000000,,,,-1363248000000,,,,,,2024
,,1572058000000,,,,,,26916700000000,,,26916700000000,281912000000,7839238000000,,,,,,,,303807000000.0,2352083000000,,,,-978619000000,,,,,,2025
