current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,revenue,prev_revenue,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,depreciation,capex,short_term_investments,roe,debt_ratio,opm,year
250908398903,209043295071,44595683766,100650177423,68101859853,92955893710,130039075198,138892733516,408604556850,85712698646,65177458458,28802612696,0.0,86430212117,236061423748,219449190590,196094557092,322174344733,251839237594,204164508444,55887794808,65856168593,34629059462,37310729540,21258735346,28545439053,19256343670,19443122366,35095294011,550953496.0,15198313259.0,-9568891578,30517547761,,,,2016
256055517309,250908398903,43122710607,107246369254,100650177423,89261790091,147176271234,130039075198,438475339224,76335422297,85712698646,26003196216,0.0,77063777720,277659055875,266622473853,219449190590,361411561504,310523923918,251839237594,93627605466,55887794808,33648484500,34629059462,59979120966,21258735346,52442559927,42991244663,36744532298,488768578.0,758298201.0,-32460193306,34418977809,,,,2017
241001159878,256055517309,51173218755,86914638587,108646369254,92256982387,151912027324,147176271234,428464236026,46425594670,76335422297,26374383903,0.0,49684502428,295243005747,288181703041,266622473853,378779733598,233899470819,310523923918,60195574644,93627605466,42336649875,33648484500,17858924769,59979120966,20473278790,21883395724,12889336917,561784270.0,11861315532.0,-1676964329,40508551777,,,,2018
246642872319,241001159878,69231999617,56501518881,86914638587,110102351473,143414316435,151912027324,446385712806,52326110212,46425594670,13736605321,,52598515328,306115825819,303608200890,288181703041,393787197478,160346635193,233899470819,46123828057,60195574644,39023663130,42336649875,7100164927,17858924769,14787039513,11846028169,52892443590,465070680.0,13442252321.0,-22085676813,48167641890,,,,2019
283812069521,246642872319,96802642146,67441982470,56501518881,103890149043,132039192938,143414316435,481155772953,70299707822,52326110212,11871921600,,71342148549,327940000962,325158276916,303608200890,409813624404,246204918743,160346635193,78919220622,46123828057,40433829454,39023663130,38485391168,7100164927,30610638191,21554316083,50952285710,,,-11510650898,32504792206,,,,2020
370725059377,283812069521,92844986039,111795841126,67441982470,147092523237,129289721020,132039192938,566044583459,80666358264,70299707822,11805490600,492466449.0,81264752770,396152786584,392778574812,325158276916,484779830689,260175874923,246204918743,130684314752,78919220622,52547956413,40433829454,78136358339,38485391168,92784112132,72349781263,1562854076,,,-6890070591,852600032,,,,2021
423736681537,370725059377,159217919022,82606156800,111795841126,161484002115,122276822214,129289721020,615867392001,76183627401,80666358264,11824008000,454004997.0,76752866702,461816222722,457096254609,392778574812,539114525299,294390765507,260175874923,152766824235,130684314752,59968143349,52547956413,92798680886,78136358339,100770243229,77243298170,92745130018,,,-5843240872,1915700000,,,,2022
429338086912,423736681537,200056020158,83285118524,82606156800,134965817874,107289088103,122276822214,611678998449,47021471576,76183627401,2000000000,0.0,611678998449,486374900936,27642285047,1974965618,562459514548,231243276445,294390765507,85140743032,152766824235,56805987781,59968143349,28334755251,92798680886,13841523293,36393252840,31583430990,,,25560486612,26261037457,,,,2023
445645616892,429338086912,222229676138,100701866300,83285118524,112465762788,134118242370,107289088103,653015311226,48106248426,47021471576,9000000000,0.0,653015311226,523774882424,1421668597,27639922512,603031420844,231920107107,229324513988,89025389191,87015136443,57824303850,56072309413,31201085341,30942827030,17724366548,42670270031,55361110767,,,-37576788470,1160679696,,,,2024
546296543980,445645616892,236305275966,87889134075,100701866300,115259279438,150316845920,134118242370,777751432327,87824922520,48106248426,7000000000,0.0,777751432327,604926512134,2541889920,1421668597,687899216493,241791765522,231920107107,139098843056,89025389191,58345568063,57824303850,80753274993,31201085341,26417017004,57564773290,100287776582,,,-115567294480,97165448658,,,,2025
