current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year,short_term_debt
,,169585801412,,,,,,525082697414,,,,149536301555,131075963964,375546395859,349870229327,322234348036,,,,,,,198.0,1094.0,,4225515109,21151119745,10365348449.0,,-38403589817,,,,2016,
,,195462237474,,,,,,797509023895,,,,361878090412,134145630878,435630933483,365386504380,349870229327,,,,,,,10941300582.0,20705234399.0,,-4709252451,77473172321,,,-110556516918,,,,2017,
,,237328739701,,,,,,1002473549711,,,,426345966340,174247455994,576127583371,612227478805,365386504380,,,,,,,47746036880.0,10941300582.0,,23420444781,120003666943,,,-127020718403,,,,2018,
,,284977571265,,,,,,1115620586546,,,,482852438972,164528312252,632768147574,657825612024,612227478805,,,,,,,40396706232.0,47746036880.0,,-16182525437,91946538513,,,-52933785274,,,,2019,
,,297514305362,,,,,,1068872535478,,,,452733816018,95346615800,616138719460,579875790663,657825612024,,,,,,,6495064093.0,40396706232.0,,-80341242406,45398545730,,,-42544176457,,,,2020,
,,331288517569,,,,,,1314942073873,,,,526500165835,235806063214,788441908038,701563172148,579875790663,,,,,,,67520136401.0,6495064093.0,,133225196705,122557828394,,,-82621595509,,,,2021,
,,317520426414,,,,,,1463023492474,,,,576891434654,306363321436,886132057820,850769309133,701563172148,,,,,,,91007611263.0,67520136401.0,,82028551863,114937054179,,,-121820314391,,,,2022,
,,303139916931,,,,,,1540973937398,,,,1540973937398,365353916780,909398072974,961069716545,850769309133,,,,,,,113463014394.0,91007611263.0,,82683480181,112995229635,,,-83059713057,,,,2023,
,,358354939410,,,,,,1419108143782,,,,1419108143782,319853541285,829079862089,989725343114,961069716545,,,,,,,,,,818849820,135676129235,,,55714744761,,,,2024,
,,364611980599,,,,,,2007711293863,,,,2007711293863,618477909583,1358745854879,1174934814159,989725343114,,,,,,,,,,359364113602,194860708063,,,-150025717689,,,,2025,
