current_assets,prev_current_assets,cash,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation,sga_expense,prev_sga,interest_expense
,,224267559129,29487743246,,,,15064829698698,,,,,14405452472777,-3546767696122.0,659377225921,12819220833774,15443611050832,,,,,,,,-2789487511318,-531006613869,-282684378073,,,,2016,,,,
,,205795485057,82504070440,,,,11446752722738,,,,,8456091397994,,2990661324744,11101818030373,12819220833774,,,,,,,,645758362568,-1019899304099,22724019673,,,,2017,,,,
,,351189667631,74778237847,,,,11918521521052,,,,,8078299948957,647004036890.0,11918521521052,9644383546545,11101818030373,,,,,,,,320051707063,725140996177,-13220666226,,,,2018,465534385638.0,,,
,,2012238821503,417252295834,,,,11276078800189,,,,,7521182251648,558411044354.0,3754896548541,8358744818823,9644383546545,,,,,292760934105.0,1024831703646.0,,-46485191069,2542127053852,-484548619767,,,,2019,7050000.0,,,
,,1343559258347,69893554199,,,,10320774853795,,,,,6451804192841,675267317088.0,3868970660954,7030175197162,8358744818823,,,,,153437091215.0,292760934105.0,,86572614374,-458467494666,137834055748,,,,2020,14100000.0,,,
,,1778939684909,310692716217,,,,10623209555073,,,,,8405626102183,-1001276147136.0,2217583452890,4486585681366,7030175197162,,,,,,,,-1699829429734,485786909235,101326455387,,,,2021,0.0,,,
,,659721353644,492238300925,,,,12235665304876,,,,,11490693372918,-2700710987444.0,744971931958,4860150249534,4486585681366,,,,,,,,-1744778447657,-1065432625974,87974126542,,,,2022,16150000.0,,,
,,1799307748627,719715569085,,,,13944772692394,,,,,9632615571697,-23882018.0,4312157120697,7408312265643,4860150249534,,,,,,,,160043854483,-1939155311922,196706349442,,,,2023,16150000.0,,,
,,588259735081,214699510064,,,,17843809161295,,,,,12980459270570,236448278992.0,4863349890725,10776004933627,7408312265643,,,,,,,,528212898147,-2904574465563,-1110137903663,,,,2024,0.0,,,
,,778471159631,13830454129,,,,20140914014349,,,,,13965907018538,1551926230287.0,6175006995811,12783512278323,10776004933627,,,,,,,,1245921538208,1314671582302,-1448872246924,,,,2025,0.0,,,
