current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_debt,roe,debt_ratio,opm,year
,,53579000000,16090000000,,,,,,2980840000000,,,,1535264000000,823269000000,1445576000000,2946331000000,3039737000000,,,,,,,,,,264801000000,145285000000,-158725000000,,,,,2016
,,227100459672,6255226092,,,,,,3166223008512,,,,2025817851673,517210256162,1140405156839,2072249142312,2946330610187,,,,,,,,,,-235185852776,104641673897,-215832179352,,,,,2017
,,143831970316,96018361227,,,,,,3755863511022,,,,2702957417629,415992595501,1052906093393,2786023511399,2072249142312,,,,,,,,,,55539464108,137662903329,-88239387102,,,,,2018
,,69400512306,120156671784,,,,,,4367135608525,,,,3183974946284,548292476274,1183160662241,3110157574663,2786023511399,,,,,,,,,,168292166221,354538677109,-386555656714,,,,,2019
,,661887560788,17018450000,,,,,,5159070657348,,,,3924790737693,600938710653,1234279919655,2825136012824,3110157574663,,,,,,,,,,72313949881,732407852813,-353336704630,,,,,2020
,,886586722282,118005472610,,,,,,5855223992714,,,,4557779985276,674841932385,1297444007438,2562283675152,2825136012824,,,,,,,,,,53272528569,439964696155,-415973361616,,,,,2021
,,2023716102131,145931355069,,,,,,7772406693424,,,,6319189867558,833138539682,1453216825866,2786888282702,2562283675152,,,,,,,,,,115919395720,1492635299719,-204068797101,,,,,2022
,,658119624499,101961643835,,,,,,7139576928721,,,,7139576928721,1002625836715,1619940517277,3819344382446,2786888282702,,,,,,,,,,221401119895,-700407274159,-107937665045,,,,,2023
,,114716160403,0,,,,,,8025538409393,,,,8025538409393,1111014146545,1727176882121,3633742105840,3819344382446,,,,,,,,,,170895410977,-728182360450,-189004570886,,,,,2024
,,60938581663,200000,,,,,,10370256890187,,,,10370256890187,1235363106759,1897346862036,3696379351601,3633742105840,,,,,,,,,,187312615904,-903316343552,-185840515047,,,,,2025
