current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,revenue,prev_revenue
,,1474367000000,,,,,,20487060000000.0,,,6436093000000.0,12462772000000,14050967000000,,,,,,,,,,1280994000000.0,2516697000000,-1736799000000,,,,2016,,
,,2249341000000,,,,,,25041221000000.0,,,8702644000000.0,14039250000000,16338577000000,,,,,,,,,,2021973000000.0,3180748000000,-1640356000000,,,,2017,,
,,2513702000000,,,,,,28944137000000.0,,,11622009000000.0,14994252000000,17322128000000,,,,,,,,,,,2124969000000,-3639046000000,,,,2018,,
,,1888631000000,,,,,,34024426000000.0,,,16640637000000.0,14798690000000,17383789000000,,,,,,,,,,376104000000.0,3121101000000,-6111441000000,,,,2019,,
,,3274250000000,,,,,,41388894000000.0,,,22598454000000.0,15175304000000,18790440000000,,,,,,,,,,682408000000.0,5840832000000,-5296375000000,,,,2020,,
,,3760834000000,,,,,,51135302000000.0,,,27925314000000.0,18091949000000,23209988000000,,,,,,,,,,3953904000000.0,5509816000000,-5349305000000,,,,2021,,
,,8497882000000,,,,,,67973823000000.0,,,30492696000000.0,19142263000000,37481127000000,,,,,,,2995698000000.0,5026370000000.0,,2195518000000.0,569880000000,-9229217000000,,,,2022,,
,,9084899000000,,,,,,,,,,19650632000000,40938185000000,,,,,,,2529196000000.0,2979354000000.0,,2053425000000.0,7536462000000,-13169629000000,,,,2023,,
,,7854877000000,,,,,,,,,,18592174000000,47995463000000,,,,,,,916798000000.0,2529196000000.0,,515011000000.0,7012339000000,-13663386000000,,,,2024,,
,,9899926000000,,,,,,101061661000000.0,,,,16999267000000,47105545000000,,,,,,,-1796423000000.0,-362262000000.0,,-977063000000.0,8233859000000,-12470600000000,,,,2025,,
