current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,depreciation,capex,roe,debt_ratio,opm,year
176595924699,106132652040,29961831639,2663700000,80274129285,49859060110,55644338209,63677213706,42914280272,246130814201,120554120117,71040292320,65487358494,1817132000,145230480836,58472481028,100900333365,152272421512,138807894016,122924044594,112022810415,29348376918,26785083601,23211575125,18835003419,6136801793,7950080182,17449100499,15536047433,18748914005,1366775961,2767749822,-6486568227,,,,2016
172294314015,176595924699,15491410209,2160440000,87321334730,80274129285,60067575303,68509498096,63677213706,246662317765,125175477049,120554120117,72930511175,4650332000,149998455633,52431511309,96663862132,295751093253,152272421512,239431475293,122924044594,56319617960,29348376918,49946289913,23211575125,6373328047,6136801793,-523800934,-4125610855,-15885890065,2518859251,4903865991,-11041556874,,,,2017
179010448135,172294314015,15211350672,619520000,73416317653,87321334730,78303507979,89176185619,68509498096,275225378822,130147444735,125175477049,59967839159,15500000000,149867903995,58165283861,125357474827,305413293865,295751093253,246405866352,239431475293,59007427513,56319617960,46906896052,49946289913,12100531461,6373328047,11115642737,8025965681,9184026404,2647691815,85028883,-5656842547,,,,2018
177747137067,179010448135,15229101949,1270000000,75493086046,73416317653,78203211870,90966974681,89176185619,275739191231,113218350470,130147444735,50150827701,14700000000,144510273365,63038028024,131228917866,315161067249,305413293865,255745604708,246405866352,59415462541,59007427513,49120432220,46906896052,10295030321,12100531461,7771845599,6802471400,8248699148,3032765039,2088164019,-4629151753,,,,2019
191260751974,177747137067,12577595689,375800000,91598906625,75493086046,77672343787,88491297954,90966974681,288389865293,124715624195,113218350470,47959943706,8000000000,143601025132,76434195452,144788840161,354832505759,315161067249,292289951977,255745604708,62542553782,59415462541,44462118611,49120432220,18080435171,10295030321,15778507676,14080552105,14763425788,2347808195,128273929,-9785509942,,,,2020
255679938559,191260751974,18182417175,2045000000,125794759639,91598906625,92236525239,90455208772,88491297954,365091020584,151229967566,124715624195,77666624926,8000000000,171999762039,96609011271,193091258545,416334206457,354832505759,348569510898,292289951977,67764695559,62542553782,44228259477,44462118611,23536436082,18080435171,25544835236,22918185562,-15628773967,2110065280,393669924,-6533851938,,,,2021
244137631538,255679938559,21692717154,2655207680,111517568616,125794759639,96590691261,93400686837,90455208772,354343809612,130861125017,151229967566,72242424279,10000000000,140851045915,110979927372,213492763697,440476416653,416334206457,364088668875,348569510898,76387747778,67764695559,50908817068,44228259477,25478930710,23536436082,21916514594,19682611034,22297351939,3328378916,958631669,-5942189585,,,,2022
240766038580,244137631538,32206836747,4283521600,113153411284,111517568616,82742801734,91679229888,93400686837,346986705154,119409420927,130861125017,27506177350,0,346986705154,116915005056,218901833401,393785730793,440476416653,330948498463,364088668875,62837232330,76387747778,46867354483,50908817068,15969877847,25478930710,1624218217,10995238460,34926408559,3641357949,245451487,-6603658264,,,,2023
267611617008,240766038580,27975197832,6103470259,100396234776,113153411284,122722919279,114937867014,91679229888,397514155964,118946486396,119409420927,16215490668,58787639050,397514155964,135148857364,254135688485,12150549558,8341924531,324789154294,330948498463,63687613191,62837232330,51352386249,46867354483,12335226942,15969877847,1201831686,13113747075,11302814082,2958905946,321421936,-8800021119,,,,2024
301441339744,267611617008,42023986997,4202172079,99604137615,100396234776,139637409769,111829094683,114937867014,428472044456,154577892704,118946486396,54058574990,10000000000,170487845915,148911284775,257984198541,7453293399,12150549558,276082796726,324789154294,65587365197,63687613191,47648313306,51352386249,17939051891,12335226942,5421885352,9133325305,28370862455,2416240416,30765798,-3041407603,,,,2025
