current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year
13426668881,16069077218,1162377195,1137287724.0,8033600640,5599842798,1328408087,37130483135,41222707475,57746389196,16138353743,22116830938,9761247000,0,23142629825,-22125765141,34603759371,23742421655,23210541648,19822920198,21575531061,3919501457,1635010587,2742965534,5792999908,1176535923,-4157989321,-3375906165,-3403437816.0,1919991836,2728019523,1056608610,463731265,,,,2016
16712868726,13426668881,1907555885,1458454774.0,7668857700,8033600640,1951967109,30512675144,37130483135,53706903697,15356228050,16138353743,1233425770,759400000,24527236916,-30929575224,29179666781,26486287918,23742421655,24374420574,19822920198,2111867344,3919501457,4533092213,2742965534,-2421224869,1176535923,-8975440465,-8803810083.0,-2881262336,904273976,1072391659,-127122409,,,,2017
12801669723,16712868726,3334592609,866906654.0,3251196306,-606026300,1622662496,29530491989,30512675144,49520999059,12539083622,15356228050,8264459082,2490850000,18768660365,-32361814998,30752338694,31546170185,26486287918,28246942551,24374420574,3299227634,2111867344,2965917017,4533092213,333310617,-2421224869,-1280877185,,4555587479,1971076460,1133407834,-885731179,,,,2018
18079335574,12801669723,6937695774,58024050.0,6030667254,3818198582,1752878073,28022559605,29530491989,53329221212,17221417861,12539083622,8930473470,1579180471,18957538831,-31672784858,34371682381,35751939484,31546170185,30438220208,28246942551,5313719276,3299227634,3651573638,2965917017,1662145638,333310617,1412578871,1411081065.0,2854514902,1857447379,783085168,2620772,,,,2019
16100334467,18079335574,5590590061,62342000.0,4105165182,6030667254,3466730654,27551804027,28022559605,49658374621,13519968653,17221417861,7489000000,1592236212,16293352322,-32758655855,33365022299,22592015218,35751939484,18878463076,30438220208,3713552142,5313719276,3246371069,3651573638,467181073,1662145638,-1073693880,-1080358319.0,1188555065,1942655014,543664587,-1021224580,,,,2020
18070667851,19312931531,5875441002,0.0,5007371764,4105165182,2685644023,30913167795,24339206963,54614752349,15766999142,13519968653,7700000000,1060674990,18068427911,-32063320972,36546324438,23477908383,22592015218,22002422445,18878463076,1475485938,3713552142,2883751888,3246371069,-1408265950,467181073,739229660,695334883.0,871088551,1938612344,461072960,-1813671610,,,,2021
28885012539,18070667851,6850114544,0.0,7865946206,5007371764,3875398499,31283351478,30913167795,65127864527,24423671313,15766999142,8500000000,0,26788875680,-30557171329,38338988847,27110628415,23477908383,22420448835,22002422445,4690179580,1475485938,3238045515,2883751888,1452134065,-1408265950,1232903466,1171369995.0,5600117951,2230798155,240241825,-4040208098,,,,2022
27434449836,28885012539,5465060878,0.0,3924408025,-2906042858,3714713347,31113450020,31283351478,67635499845,19090034053,24423671313,8500000000,0,21680745544,-29467963931,45954754301,41857755025,27110628415,36554742995,22420448835,5303012030,4690179580,3122503222,3238045515,2180508808,1452134065,1434791248,1431602721.0,2701750768,2150099133,378614229,-11273034975,,,,2023
23041887201,27434449836,4363142494,,-1593388438,3924408025,3900186980,31088092570,31113450020,63790941612,12500900619,19090034053,3000000000,2000000000,15350773617,-26937119980,48440167995,43595351592,41857755025,38918409215,36554742995,4676942377,5303012030,3512912033,3122503222,1164030344,2180508808,0,2605084717.0,1026053471,66879343,360496436,3713102215,,,,2024
29644179647,23041887201,4561571571,,-3635551178,-1593388438,4765268657,31905371436,31088092570,74789041969,22033265483,12500900619,2000000000,2098651580,25264350857,-36794290838,49524691112,29022184967,43595351592,31525659956,38918409215,-2503474989,4676942377,3327811180,3512912033,-5831286169,1164030344,-1647058,-10007067780.0,-4430356829,212778630,376481898,-9113389177,,,,2025
