current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,revenue,prev_revenue,capex,roe,debt_ratio,opm,year,short_term_investments,short_term_debt,inventory,long_term_debt
654308372756,507598524012,90000841705,61841119026,62359614627,2588589266,3384853388,711986084245,74437514216,68393439297,77003278942,434783517092,634982805303,51536824093.0,44344650792.0,461513093829.0,389187387075.0,269536625623.0,223261469758.0,191976468206,165925917317,198947520470,151767134894,155990506432,1930992227,29592274,38475854,3425498,-131407864745,,,,2016,,,,
768017610100,654308372756,25792117141,74055034007,61841119026,2872112435,2588589266,838310851513,76512858749,74437514216,77379483184,559711451634,760931368329,51331998028.0,51536824093.0,456655252899.0,461513093829.0,262008153994.0,269536625623.0,194647098905,191976468206,193226912032,142375413542,134548049967,1649869608,23117057,507987250927,513049917922,-182018452284,,,,2017,376069418557.0,,,
774006572406,768017610100,32804499308,69421849299,89200592534,2949440831,2872112435,909300696179,63224519508,76512858749,64804161071,675165968748,844496535108,58845449930.0,51331998028.0,422909266881.0,456655252899.0,276270068416.0,262008153994.0,146639198465,194647098905,170900311435,129687281094,128609494101,1817183761,23938019,481754716811,507987250927,-77571967896,,,,2018,,,,
765543167212,774006572406,35694606261,56257034631,69421849299,14537560904,2949440831,1004978011306,70736016213,63224519508,79534537081,769744641621,925443474225,68882145232.0,58845449930.0,400410941120.0,422909266881.0,274456221489.0,276270068416.0,125954719631,146639198465,147974360852,109600865056,129830247062,5031751869,286726351,469293086352,481754716811,-89317371794,,,,2019,,,,
716079514001,765543167212,58000105069,53486140713,48738432722,13107401242,14537560904,1049132498425,65940802174,70736016213,72024414178,833055458497,977108084247,88890596976.0,68882145232.0,420098054205.0,400410941120.0,305980724627.0,274456221489.0,114117329578,125954719631,103583514545,76429518348,102539574683,6106304881,335825322,508988651181,469293086352,-44602454971,,,,2020,,1100000000.0,,
644908681594,716079514001,253740228646,80358584010,53486140713,86819324306,13107401242,1858805187817,175250887329,65940802174,445864299550,945196316125,1412940888267,159942032281.0,88890596976.0,398738637820.0,420098054205.0,346115884308.0,305980724627.0,52622753512,114117329578,145258182734,121537267341,90152879116,8659590072,2978778203,558680670101,508988651181,-52173375089,,,,2021,,39296887056.0,6208764715.0,9030000000.0
606158775348,644908681594,173214798713,92026943989,80358584010,97604819088,86819324306,1908358361933,325882090562,175250887329,576012278314,966188832329,1332346083619,323132264524.0,159942032281.0,394004527409.0,398738637820.0,410713624094.0,346115884308.0,-16709096685,52622753512,1771536976,-9324717900,-5047340880,16536774694,11236550184,717136791933,558680670101,-121816673246,,,,2022,,106995000000.0,10133207080.0,5878320000.0
448621042469,597580860207,143194089373,79319361239,92026943989,58792539971,97604819088,1716012521782,346002349909,320098801943,1716012521782,967107816736,1236766084088,,,,,,,-33190425674,-15118046908,22777471912,42091849090,-9228556762,6352827934,14712794129,739638721494,677312281269,88516010372,,,,2023,,15040000000.0,8877987401.0,121802379480.0
454272225134,448621042469,152959892842,98334208034,79319361239,65400184775,58792539971,1645982722639,441824119594,346002349909,1645982722639,848795532416,1049873729353,,,,,,,6128463563,-33190425674,-7524207323,-151979459619,15528039642,681258850,15134859347,693943029291,739638721494,-39960842337,,,,2024,0.0,171839280677.0,15941625494.0,524990000.0
415884028383,454272225134,108935942067,82071189751,98334208034,40880082524,65400184775,1615624150416,491407810641,441824119594,1615624150416,876994839851,1069099711705,,,,,,,2633918673,6128463563,28174173529,9363716654,-39213012905,1342995726,20138164588,696423825349,693943029291,6822862861,,,,2025,,202088628300.0,8758797958.0,71971429474.0
