current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_debt,roe,debt_ratio,opm,year,long_term_debt,depreciation
,,623703583862,,,,,,5181577129735,,,1284945059242,3158666867054,3896632070493,5645440160699,4766627213300,,,,,,,848103454099,772909945489,,645728659544,676951762504,-609625476294,,,,,2016,,
,,604187522778,,,,,,5375684238596,,,1200310083813,3456502861670,4175374154783,5123825882104,5645440160699,,,,,,,596399136908,848103454099,,398003012440,512563468600,-400840861116,,,,,2017,,
,,735510637941,,,,,,5371137217822,,,924720135375,3726002772481,4446417082447,5277844561808,5123825882104,,,,,,,481980827939,596399136908,,334844563966,646677307033,-413917719397,,,,,2018,,30000000000.0
,,673580375450,,,,,,5989007790647,,,1490166987522,3873789578852,4498840803125,5580142192519,5277844561808,,,,,,,427834596504,481980827939,,223761027766,718300781333,-403233395816,,,,,2019,,0.0
,,793728286323,,,,,,5701918175747,,,1237520431552,3847747137435,4464397744195,4432179039394,5580142192519,,,,,,,143009119307,427834596504,,21869011689,554358724380,-206408840887,,,,,2020,,0.0
,,537693630647,,,,,,6116713932912,,,1372414055290,3937774554979,4744299877622,4863128496699,4432179039394,,,,,,,343357809050,143009119307,,180857693977,691434410702,-708415251302,,,,,2021,,811274982.0
,,449597948392,,,,,,5801783178159,,,1022508074100,4010086561524,4779275104059,4134932512111,4863128496699,,,,,,,214233255761,343357809050,,129264244958,151023730340,-68513788688,,,,,2022,,30000000000.0
,,506379386493,,,,,,5886510888702,,,1013805677645,4101401371537,4872705211057,3673963593157,4134932512111,,,,,,,108171257062,214233255761,,173878928996,348227953524,-186166228672,,,,,2023,,58630000000.0
,,451543362844,,,,,,6783507800768,,,1457499911662,4600956024202,5326007889106,3885110699186,3673963593157,,,,,,,220481343913,108171257062,,601641373835,334509652791,-312170664712,,,,,2024,,30000000000.0
,,524558265446,,,,,,6961213309494,,,1457755533999,4775003299021,5503457775495,4252820221496,3885110699186,,,,,,,335826547063,220481343913,,247316269750,583839768058,-295348043916,,,,,2025,,37011000000.0
