current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,depreciation,capex,roe,debt_ratio,opm,year,short_term_debt,long_term_debt
24785650271,24825942221,5786136652,1114370353,1766951797,952416182,3589241157,17390358841,16719760311,69191091618,11282824778,4996556966,18788625042,34672387481,50402466576,34238374079,30512359622,27326492497,22426132324,6911881582,8086227298,3753549025,3468323697,3158332557,4617903601,2962954006,3174530180,9150415625,142816679,5053280,-9532597335,,,,2016,,
21418573780,24785650271,7271934283,183902550,3948774179,1766951797,2228994556,17810980399,17390358841,70595677359,10928758665,11282824778,15806165466,39460997976,54789511893,42762139356,34238374079,32307526018,27326492497,10454613338,6911881582,5084486223,3753549025,5370127115,3158332557,5621604787,5396783327,11140296293,233697538,283874910,-8996730878,,,,2017,,
28837143720,21418573780,5090227014,43052750,6395441207,3948774179,1036755293,18039881588,17810980399,77675670199,16754969773,10928758665,19190740537,43106322281,58484929662,46132147074,42762139356,36054082033,32307526018,10078065041,10454613338,4477881727,5084486223,5600183314,5370127115,5347934740,5065625453,246998979,227009566,0,-4192755415,,,,2018,3200000000.0,
50863325386,28837143720,19832042815,11289457990,3798210804,6395441207,3621500104,20342986163,18039881588,96315121101,26563360651,16754969773,31846856922,49499616102,64468264179,70228243004,46132147074,55273887733,36054082033,14954355271,10078065041,5706038232,4477881727,9248317039,5600183314,8493548300,7360266789,32422739378,85120003,3364407,-17675960181,,,,2019,0.0,
66714025653,50732725546,21186692215,13344147500,3069281542,3798210804,6864476841,22704185596,20342986163,107499549254,28194213018,26563360651,33709818432,59844971727,73789730822,89227431153,70228243004,68732263859,55273887733,20495167294,14954355271,6836065384,5706038232,13659101910,9248317039,13936761906,11860857234,13518393829,213786921,223820565,-10182531971,,,,2020,0.0,
184525469979,66714025653,114632908133,25313219179,2384050091,3069281542,9129948639,24655823453,22704185596,230110834867,27069602719,28194213018,112054528510,45852999359,118056306357,73449328696,89227431153,62819319452,68732263859,10630009244,20495167294,9360775222,6836065384,1269234022,13659101910,-15706998401,-12646852205,-3745222113,1433959378,456103423,-20405314950,,,,2021,1000000000.0,47971985266.0
193789417295,184525469979,90394761075,46142951440,15820609361,2384050091,12082345251,42259178604,24655823453,258780306615,63220144047,27069602719,137614754857,42324705809,121165551758,91357563655,73449328696,84657974194,62819319452,6699589461,10630009244,14427814997,9360775222,-7728225536,1269234022,738925068,-2809411045,24143605932,1528426972,10490652,-49450665099,,,,2022,800000000.0,48955279370.0
166337582530,193789417295,102776984967,7200000000,4812486009,15820609361,18326139338,86732655485,42259178604,313827961191,81995185851,63220144047,313827961191,85480009568,218255795490,125433494958,91357563655,110247717816,84657974194,15185777142,6699589461,19539528045,14427814997,-4353750903,-7728225536,-35413090140,41465966732,28555034060,1434221127,54211014,-11897111016,,,,2023,,0.0
289087192982,166337582530,125267445540,47000000000,1494845280,4812486009,27919003147,97010999405,86732655485,446984592737,209768801579,81995185851,446984592737,91747568503,224021721955,171279451654,125433494958,144491862795,110247717816,26787588859,15185777142,29859748270,19539528045,-3072159411,-4353750903,-3115830945,6249303506,68326063940,1323124493,12038625,-61963615101,,,,2024,3300000000.0,0.0
225384881333,289087192982,75946476542,5000000000,5263078389,1494845280,41636093618,121230632380,97010999405,411001934412,170766602928,209768801579,411001934412,104956583912,237002942111,206916796302,171279451654,173505050660,144491862795,33411745642,26787588859,23232084998,29859748270,10179660644,-3072159411,-1649942913,14085784411,-74017199715,1955386717,18194199,18980961778,,,,2025,11000000000.0,0.0
