current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,short_term_investments,interest_expense,capex,roe,debt_ratio,opm,year
,,130372330759,,,,,,1596970589389,,,,,862453634938,228893998858,734516954451,882724835492,1317534519130,,,,,,,26771865368.0,211799975638.0,,30299647921,412965176318,35730526862,4713900000.0,,-355148743287,,,,2016
,,47266027448,,,,,,1660934086136,,,,,868509824482,285289964716,792424261654,916586234608,882724835492,,,,,,,,,,68973581262,-62905201161,31837452177,0.0,,-152887592100,,,,2017
,,67338194799,,,,,,1691209668597,,,,,901953197486,287801287475,789256471111,1015962250114,916586234608,,,,,,,,,,34156165932,25982256129,183463597913,0.0,,-145827895664,,,,2018
,,106113064156,,,,,,1913706257532,,,,,1091444832633,323771139999,822261424899,1113649783994,1015962250114,,,,,,,,,,63867247550,12446620375,190998864429,1071894572.0,,-172943538082,,,,2019
,,146157369325,,,,,,1882026593387,,,,,1050137118495,334116705316,831889474892,1075853605008,1113649783994,,,,,,,48976342021.0,103877846130.0,,17289714876,151534949938,53659899219,126672361.0,,-45166203187,,,,2020
,,209224626255,,,,,,1936728687294,,,,,1008469278529,396915857788,928259408765,1203185652812,1075853605008,,,,,,,125415874751.0,48976342021.0,,81478223722,201923207364,78235915411,777526933.0,,-43388835459,,,,2021
,,147328655366,,,,,,1924585730838,,,,,915359048755,452297474680,1009226682083,1331546600126,1203185652812,,,,,,,158090311455.0,125415874751.0,,101558192480,162268943067,84355113076,47122015.0,,-181408083554,,,,2022
,,54980324303,,,,,,1898668375968,,,,,798457731813,581978729520,1100210644155,1490887463726,1331546600126,,,,,,,220691065020.0,158090311455.0,,165366177835,216537615372,1276948140,0.0,,-183472198211,,,,2023
,,192277535603,,,,,,2020840493653,,,,,780088902015,680887990617,1240751591638,1495501575568,1490887463726,,,,,,,216186188006.0,220691065020.0,,140431062099,193486724954,593894280,0.0,,24850922512,,,,2024
,,108273819495,,,,,,2137597680857,,,,,714744458123,836489101629,1422853222734,1547531098763,1495501575568,,,,,,,257799090185.0,216186188006.0,,187135533539,173072329954,3346399563,,,-159455090147,,,,2025
