current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,revenue,prev_revenue,income_tax,net_income,cash_from_operations,capex,short_term_debt,long_term_debt,roe,debt_ratio,opm,year
,,64865009066,,,39259485515,,,,294302739625,,,20363018058,106454032610,273939721567,,,,,,,63260268445.0,17757467543.0,,,,50900866847,45140518832,-53908605810,,,,,,2016
,,31275054037,,,564426913205,,,,820929775306,,,103009883896,179160345941,717919891410,,,,,,,,,182085496975.0,124189443779.0,,81350587843,64192204618,-555342144915,,,,,,2017
,,29005216684,,,572548318518,,,,918266455814,,,133483282936,760540098451,784783172878,,,,,,,60194964448.0,101924345474.0,182391609421.0,182085496975.0,,75657188325,65796485202,-32215835091,,,,,,2018
,,15293774047,,,553603251894,,,,894690013619,,,150419074817,768284513579,744270938802,,,,,,,68086696906.0,60194964448.0,204567625227.0,182391609421.0,,50278332948,76994954935,-979321415,,,,,,2019
,,62358097717,,,536846619341,,,,956344165833,,,162275491387,808500241247,794068674446,,,,,,,78059792591.0,68086696906.0,211038348381.0,204567625227.0,,45316091400,74302498142,-25295729852,,,,,,2020
,,294141280002,,,242479633299,,,,1009737148461,,,180569259363,841303672261,829167889098,,,,,,,97159823859.0,78059792591.0,245153111424.0,211038348381.0,,60393105236,85940034914,180130227132,,,,,,2021
,,131785607834,,,392090169983,,,,1049782928514,,,200328493261,899140037362,849454435253,,,,,,,101378493271.0,95611343317.0,281675135067.0,231859108191.0,,63908252446,80626442310,-191831663694,,,,,,2022
,,106013879808,,,370926987983,,,,929250642001,,,149572606527,936330800646,779678035474,,,,,,,117781785955.0,101378493271.0,319699941151.0,281675135067.0,,97660299628,117705306304,43198399360,,,,,,2023
,,130138968641,,,285190515240,,,,939439325841,,,939439325841,1070537840537,840812000743,,,,,,,166229170618.0,117781785955.0,373046885998.0,319699941151.0,,143134582847,149050888807,42383660430,,,,,,2024
,,209698099582,,,319000000000,,,,1076837920124,,,1076837920124,1159931945468,980161908525,,,,,,,200851332915.0,166229170618.0,425109983561.0,373046885998.0,,146974291500,150058740523,-48744554194,,,,,,2025
