current_assets,prev_current_assets,cash,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,capex,short_term_debt,long_term_debt,roe,debt_ratio,opm,year,accounts_receivable,prev_accounts_receivable
,,465349712619,157285294345,,,,9621973238753,,,3660493919044,2950572886944,5961479319709,6621762292163,6428172502457,,,,,,,,,,879090215731,1217766385941,,-739995751862,,,,,,2016,,
,,694151215540,4343730976,,,,9518786151144,,,3145279905934,3518984933501,6373506245210,6812857982362,6621762292163,,,,,,,,,,606456841401,851731235059,,-344257336969,,,,,,2017,,
,,611977138677,27568026718,,,,9796442247019,,,3006129279194,3995902869382,6790312967825,6795088815835,6812857982362,,,,,,,,,,530380683888,1123539949009,,-594820650141,,,,,,2018,,
,,877600275927,33134195465,,,,10164607903070,,,2977390789500,4343703619857,7187217113570,6883268577435,6795088815835,,,,,,,543964831621.0,702650599990.0,,429614534254,760347394662,,-241307453658,,,,,,2019,,
,,1060864709315,239826956633,,,,10658547888637,,,3246400366409,4665265075780,7412147522228,6453071785362,6883268577435,,,,,,,628270555481.0,543964831621.0,,385205382320,1290850800312,,-1004323442726,,,,,,2020,,
,,1062042415822,480020611895,,,,11703918122819,,,3498782297830,5190613538059,8205135824989,7141136827775,6453071785362,,,,,,,642192906442.0,628270555481.0,,604335535937,841528140376,,-766568630129,,,,,,2021,,
,,1139442351244,594766221730,,,,12581364159005,,,3705654911026,5844798195473,8875709247979,8394203036511,7141136827775,,,,,,,705818089039.0,642192906442.0,,705774525978,504570700349,,-332001472784,,,,,,2022,,
,,2243874564540,417956126252,,,,12763305688360,,,12763305688360,6437264358709,9629553176340,8939621475507,8394203036511,,,,,,,1327945320791.0,705818089039.0,,728792952155,1973172494524,,96913656573,,,,,,2023,,
,,1882309979179,684084275857,,,,15849744509888,,,15849744509888,7354415571774,11194852809819,9411947926996,8939621475507,,,,,,,1762260288101.0,1327945320791.0,,1131097818215,1886111357762,,-2610437312322,,,,,,2024,,
,,2603079747970,249700032765,,,,26647188444916,,,26647188444916,8138566857141,14201979362795,21202299462815,9411947926996,,,,,,,1841075890332.0,1762260288101.0,,971594538868,1608024241978,,-734787594830,,,,,,2025,,
