current_assets,prev_current_assets,cash,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,accounts_receivable,prev_accounts_receivable,capex,roe,debt_ratio,opm,year
,,83161419183,202045113157,,,,2062032035718,,,,,955546724280,-512073279166,1106485311438,991024369234.0,722309231518.0,,,,,,,,,,-422943694079,138825621023,33770214052,,,,-257010832166,,,,2016
,,246280631110,371672475274,,,,2775783759727,,,,,1062253606935,-284106966604,1713530152792,1149657255468.0,991024369234.0,,,,,,,,,,229432996896,164427906933,40832648178,,,,-312966537237,,,,2017
,,97181377703,486276688636,,,,2850066743347,,,,,1126137598352,-363691230880,1723929144995,,,,,,,,,108792138047.0,115286289305.0,,-12795633993,78195035649,11115938957,,,,-282447420598,,,,2018
,,141184713328,414504869383,,,,2693659191237,,,,,1272981765136,-577633213763,1420677426101,,,,,,,,,-3881273804.0,108792138047.0,,-260570998880,130644238017,9033688370,,,,213786693556,,,,2019
,,124778303572,136746567188,,,,3488569253234,,,,,1824304096307,-840204590047,1664265156927,,,,,,,,,-221140549162.0,-3881273804.0,,-341532739427,-186865577417,11416989164,,,,-878210120102,,,,2020
,,121370003669,163059113142,,,,3754742183026,,,,,1930524163632,-795719108130,1824218019394,,,,,,,,,-195175723509.0,-221140549162.0,,-35695759409,-46269187206,12511415370,,,,-69973785678,,,,2021
,,151540682150,264316720535,,,,3915077621174,,,,,1339020434490,-50696289895,2576057186684,200336082220.0,148424841934.0,,,,,,,403631730217.0,94554531364.0,,659568334244,-3563195478,8967344006,,,,331760314332,,,,2022
,,43967634212,247698671491,,,,3784921894235,,,,,3784921894235,264514760374,2853875519764,,,,,,,,,3189822435.0,2257483391.0,,388329013825,135467612663,9005770599,,,,280991505378,,,,2023
,,416871045000,50600040000,,,,4207157981000,,,,,4207157981000,717622953000,3313160945000,,,,,,,,,,,,512176366000,64059909000,8003461000,,,,372582254000,,,,2024
,,110930322000,30600000000,,,,4140658602000,,,,,716530610000,833328980000,3424127992000,298362106000.0,292157342000.0,,,,,,,,,,159181702000,122225750000,0,,,,-119558792000,,,,2025
