year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,-16241420668,-15116805728,2474272092,1130327053,-16241420668,2474272092,1.189,-0.0744,0.0,-0.1295,-1.0
2021,Q4,-25423672146,-16241420668,3674356765,2474272092,-25423672146,3674356765,0.485,-0.5654,0.0,-0.5307,-1.0
2022,Q4,-22375609579,-25423672146,9320323645,3674356765,-22375609579,9320323645,1.5366,0.1199,0.0,0.1934,1.0
2023,Q4,-18185342175,-22375609579,17064275446,9320323645,-18185342175,17064275446,0.8309,0.1873,0.0,0.2725,1.0
2024,Q1,-10092953918.0,0,3558170720.0,0.0,-10092953918.0,3558170720.0,0,-10092953918.0,0.0,0.0,0.0
2024,Q2,-3773197709.0,0,3558170720.0,0.0,-3773197709.0,3558170720.0,0,-3773197709.0,0.0,0.0,0.0
2024,Q3,-9444527380.0,0,3558170720.0,0.0,-9444527380.0,3558170720.0,0,-9444527380.0,0.0,0.0,0.0
2024,Q4,-30918594163,-18185342175,5677151911,17064275446,-30918594163,5677151911,-0.6673,-0.7002,0.0,-0.5834,-1.0
2025,Q1,-8242590698.0,0,0,0.0,-8242590698.0,0,0,-8242590698.0,0.0,0.0,0.0
2025,Q2,-4961606943.0,0,-12552720000.0,0.0,-4961606943.0,-12552720000.0,0,-4961606943.0,0.0,0.0,0.0
2025,Q3,-8311370292.0,0,0,0.0,-8311370292.0,0,0,-8311370292.0,0.0,0.0,0.0
2025,Q4,-29972430134,-30918594163,14666854279,5677151911,-29972430134,14666854279,1.5835,0.0306,0.0,0.0577,1.0
