year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.84,1.9,0.0316,1.0,3.16,0,0,0,0,0,0,0,0,0
2020,Q3,1.73,1.7,-0.0198,0.0,-1.98,0,0,0,0,0,0,0,0,0
2020,Q4,2.05,2.17,0.0595,0.0,5.95,0,0,0,0,0,0,0,0,0
2021,Q1,1.9,2.03,0.0676,0.0,6.76,0,0,0,0,0,0,0,0,0
2021,Q2,2.24,2.4,0.0732,1.0,7.32,0,0,0,0,0,0,0,0,0
2021,Q3,2.19,2.2,0.0068,0.0,0.68,0,0,0,0,0,0,0,0,0
2021,Q4,2.63,2.78,0.0579,0.0,5.79,0,0,0,0,0,0,0,0,0
2022,Q1,2.37,2.54,0.0735,1.0,7.35,0,0,0,0,0,0,0,0,0
2022,Q2,2.83,2.9,0.0231,1.0,2.31,0,0,0,0,0,0,0,0,0
2022,Q3,2.57,2.6,0.0109,0.0,1.09,0,0,0,0,0,0,0,0,0
2022,Q4,2.93,3.08,0.053,1.0,5.3,0,0,0,0,0,0,0,0,0
2023,Q1,2.5,2.39,-0.0436,0.0,-4.36,0,0,0,0,0,0,0,0,0
2023,Q2,3.0,3.15,0.0508,1.0,5.08,0,0,0,0,0,0,0,0,0
2023,Q3,2.63,2.71,0.0286,0.0,2.86,0,0,0,0,0,0,0,0,0
2023,Q4,3.13,3.27,0.0446,1.0,4.46,0,0,0,0,0,0,0,0,0
2024,Q1,2.66,2.77,0.0405,1.0,4.05,0,0,0,0,0,0,0,0,0
2024,Q2,3.16,3.13,-0.0093,0.0,-0.93,0,0,0,0,0,0,0,0,0
2024,Q3,2.77,2.79,0.0063,0.0,0.63,0,0,0,0,0,0,0,0,0
2024,Q4,3.42,3.59,0.0512,1.0,5.12,0,0,0,0,0,0,0,0,0
2025,Q1,2.81,2.82,0.0025,0.0,0.25,0,0,0,0,0,0,0,0,0
2025,Q2,3.32,3.49,0.0503,1.0,5.03,0,0,0,0,0,0,0,0,0
2025,Q3,2.97,3.03,0.0197,0.0,1.97,0,0,0,0,0,0,0,0,0
2025,Q4,3.72,3.94,0.0587,1.0,5.87,0,0,0,0,0,0,0,0,0
2026,Q1,2.84,2.93,0.0326,0.0,3.26,0,0,0,0,0,0,0,0,0
