year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.04,1.08,0.035,0.0,3.5,0,0,0,0,0,0,0,0,0
2020,Q3,1.29,1.36,0.0573,0.0,5.73,0,0,0,0,0,0,0,0,0
2020,Q4,1.33,1.44,0.0866,0.0,8.66,0,0,0,0,0,0,0,0,0
2021,Q1,1.32,1.44,0.0898,1.0,8.98,0,0,0,0,0,0,0,0,0
2021,Q2,1.45,1.54,0.0604,0.0,6.04,0,0,0,0,0,0,0,0,0
2021,Q3,1.61,1.72,0.0653,1.0,6.53,0,0,0,0,0,0,0,0,0
2021,Q4,1.7,1.73,0.019,0.0,1.9,0,0,0,0,0,0,0,0,0
2022,Q1,1.79,1.94,0.0848,0.0,8.48,0,0,0,0,0,0,0,0,0
2022,Q2,2.11,2.4,0.1369,1.0,13.69,0,0,0,0,0,0,0,0,0
2022,Q3,2.43,2.52,0.0362,0.0,3.62,0,0,0,0,0,0,0,0,0
2022,Q4,2.59,2.73,0.0551,0.0,5.51,0,0,0,0,0,0,0,0,0
2023,Q1,2.6,2.75,0.0567,1.0,5.67,0,0,0,0,0,0,0,0,0
2023,Q2,2.76,2.83,0.0267,1.0,2.67,0,0,0,0,0,0,0,0,0
2023,Q3,2.52,2.49,-0.0116,0.0,-1.16,0,0,0,0,0,0,0,0,0
2023,Q4,2.02,2.01,-0.0038,0.0,-0.38,0,0,0,0,0,0,0,0,0
2024,Q1,1.71,1.73,0.0143,0.0,1.43,0,0,0,0,0,0,0,0,0
2024,Q2,1.27,1.4,0.1034,1.0,10.34,0,0,0,0,0,0,0,0,0
2024,Q3,1.51,1.58,0.0483,1.0,4.83,0,0,0,0,0,0,0,0,0
2024,Q4,1.64,1.67,0.0188,0.0,1.88,0,0,0,0,0,0,0,0,0
2025,Q1,1.54,1.63,0.056,0.0,5.6,0,0,0,0,0,0,0,0,0
2025,Q2,1.69,1.85,0.0937,1.0,9.37,0,0,0,0,0,0,0,0,0
2025,Q3,1.95,2.05,0.0533,1.0,5.33,0,0,0,0,0,0,0,0,0
2025,Q4,2.23,2.26,0.0113,0.0,1.13,0,0,0,0,0,0,0,0,0
2026,Q1,2.31,2.46,0.0655,0.0,6.55,0,0,0,0,0,0,0,0,0
