year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.79,0.85,0.075,0.0,7.5,0,0,0,0,0,0,0,0,0
2020,Q3,0.9,0.98,0.0945,1.0,9.45,0,0,0,0,0,0,0,0,0
2020,Q4,0.96,1.04,0.0887,0.0,8.87,0,0,0,0,0,0,0,0,0
2021,Q1,1.07,1.18,0.099,1.0,9.9,0,0,0,0,0,0,0,0,0
2021,Q2,0.94,1.03,0.0943,1.0,9.43,0,0,0,0,0,0,0,0,0
2021,Q3,1.12,1.21,0.081,1.0,8.1,0,0,0,0,0,0,0,0,0
2021,Q4,1.26,1.33,0.0583,1.0,5.83,0,0,0,0,0,0,0,0,0
2022,Q1,1.44,1.5,0.0407,0.0,4.07,0,0,0,0,0,0,0,0,0
2022,Q2,1.34,1.43,0.0694,1.0,6.94,0,0,0,0,0,0,0,0,0
2022,Q3,1.57,1.65,0.0497,1.0,4.97,0,0,0,0,0,0,0,0,0
2022,Q4,1.7,1.7,-0.0009,0.0,-0.09,0,0,0,0,0,0,0,0,0
2023,Q1,1.81,1.86,0.0264,1.0,2.64,0,0,0,0,0,0,0,0,0
2023,Q2,1.56,1.55,-0.0055,0.0,-0.55,0,0,0,0,0,0,0,0,0
2023,Q3,1.73,1.91,0.1066,1.0,10.66,0,0,0,0,0,0,0,0,0
2023,Q4,1.99,2.07,0.0397,0.0,3.97,0,0,0,0,0,0,0,0,0
2024,Q1,1.95,2.09,0.0729,1.0,7.29,0,0,0,0,0,0,0,0,0
2024,Q2,1.77,1.87,0.0569,0.0,5.69,0,0,0,0,0,0,0,0,0
2024,Q3,2.0,2.15,0.0728,1.0,7.28,0,0,0,0,0,0,0,0,0
2024,Q4,2.12,2.17,0.0242,0.0,2.42,0,0,0,0,0,0,0,0,0
2025,Q1,2.14,2.29,0.0701,1.0,7.01,0,0,0,0,0,0,0,0,0
2025,Q2,2.15,2.29,0.0667,0.0,6.67,0,0,0,0,0,0,0,0,0
2025,Q3,2.45,2.62,0.0701,1.0,7.01,0,0,0,0,0,0,0,0,0
2025,Q4,2.5,2.67,0.0689,0.0,6.89,0,0,0,0,0,0,0,0,0
2026,Q1,2.64,2.85,0.0781,0.0,7.81,0,0,0,0,0,0,0,0,0
