year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.82,0.11,-0.8651,0.0,-86.51,0,0,0,0,0,0,0,0,0
2020,Q3,0.56,0.66,0.1799,0.0,17.99,0,0,0,0,0,0,0,0,0
2020,Q4,0.55,0.81,0.4599,1.0,45.99,0,0,0,0,0,0,0,0,0
2021,Q1,0.93,0.94,0.0119,0.0,1.19,0,0,0,0,0,0,0,0,0
2021,Q2,0.98,1.05,0.0736,0.0,7.36,0,0,0,0,0,0,0,0,0
2021,Q3,1.2,1.52,0.2669,1.0,26.69,0,0,0,0,0,0,0,0,0
2021,Q4,0.89,0.97,0.0959,0.0,9.59,0,0,0,0,0,0,0,0,0
2022,Q1,1.18,1.58,0.3344,1.0,33.44,0,0,0,0,0,0,0,0,0
2022,Q2,1.17,1.3,0.1123,1.0,11.23,0,0,0,0,0,0,0,0,0
2022,Q3,1.14,1.19,0.0394,0.0,3.94,0,0,0,0,0,0,0,0,0
2022,Q4,0.52,0.66,0.2676,1.0,26.76,0,0,0,0,0,0,0,0,0
2023,Q1,1.28,1.36,0.0628,0.0,6.28,0,0,0,0,0,0,0,0,0
2023,Q2,1.42,1.63,0.1447,1.0,14.47,0,0,0,0,0,0,0,0,0
2023,Q3,1.58,1.75,0.1085,1.0,10.85,0,0,0,0,0,0,0,0,0
2023,Q4,1.48,1.61,0.0866,0.0,8.66,0,0,0,0,0,0,0,0,0
2024,Q1,1.64,1.79,0.0919,1.0,9.19,0,0,0,0,0,0,0,0,0
2024,Q2,1.66,1.77,0.0668,1.0,6.68,0,0,0,0,0,0,0,0,0
2024,Q3,1.3,1.16,-0.1088,0.0,-10.88,0,0,0,0,0,0,0,0,0
2024,Q4,1.1,1.23,0.1215,1.0,12.15,0,0,0,0,0,0,0,0,0
2025,Q1,1.23,1.3,0.0597,0.0,5.97,0,0,0,0,0,0,0,0,0
2025,Q2,0.99,1.17,0.1765,1.0,17.65,0,0,0,0,0,0,0,0,0
2025,Q3,1.69,1.98,0.1724,0.0,17.24,0,0,0,0,0,0,0,0,0
2025,Q4,1.71,2.2,0.285,1.0,28.5,0,0,0,0,0,0,0,0,0
2026,Q1,1.9,1.96,0.0306,0.0,3.06,0,0,0,0,0,0,0,0,0
