year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,2.43,2.64,0.0847,0.0,8.47,0,0,0,0,0,0,0,0,0
2020,Q3,2.12,2.75,0.2969,0.0,29.69,0,0,0,0,0,0,0,0,0
2020,Q4,0.99,1.41,0.4265,1.0,42.65,0,0,0,0,0,0,0,0,0
2021,Q1,2.08,1.82,-0.127,0.0,-12.7,0,0,0,0,0,0,0,0,0
2021,Q2,1.94,2.47,0.2713,1.0,27.13,0,0,0,0,0,0,0,0,0
2021,Q3,2.47,2.99,0.2089,1.0,20.89,0,0,0,0,0,0,0,0,0
2021,Q4,1.55,1.41,-0.088,0.0,-8.8,0,0,0,0,0,0,0,0,0
2022,Q1,2.31,2.47,0.0697,0.0,6.97,0,0,0,0,0,0,0,0,0
2022,Q2,2.8,3.75,0.337,1.0,33.7,0,0,0,0,0,0,0,0,0
2022,Q3,3.22,2.95,-0.0834,0.0,-8.34,0,0,0,0,0,0,0,0,0
2022,Q4,1.0,1.01,0.0082,0.0,0.82,0,0,0,0,0,0,0,0,0
2023,Q1,2.7,3.23,0.1978,1.0,19.78,0,0,0,0,0,0,0,0,0
2023,Q2,2.32,2.75,0.185,0.0,18.5,0,0,0,0,0,0,0,0,0
2023,Q3,2.75,3.89,0.412,0.0,41.2,0,0,0,0,0,0,0,0,0
2023,Q4,2.59,4.29,0.6573,1.0,65.73,0,0,0,0,0,0,0,0,0
2024,Q1,3.71,4.58,0.2334,1.0,23.34,0,0,0,0,0,0,0,0,0
2024,Q2,3.92,4.78,0.2192,1.0,21.92,0,0,0,0,0,0,0,0,0
2024,Q3,3.61,4.08,0.1312,0.0,13.12,0,0,0,0,0,0,0,0,0
2024,Q4,2.64,3.0,0.1357,0.0,13.57,0,0,0,0,0,0,0,0,0
2025,Q1,4.13,4.79,0.1589,0.0,15.89,0,0,0,0,0,0,0,0,0
2025,Q2,2.78,3.39,0.221,1.0,22.1,0,0,0,0,0,0,0,0,0
2025,Q3,4.45,5.1,0.1451,0.0,14.51,0,0,0,0,0,0,0,0,0
2025,Q4,4.28,5.73,0.3403,1.0,34.03,0,0,0,0,0,0,0,0,0
2026,Q1,5.5,5.61,0.0194,0.0,1.94,0,0,0,0,0,0,0,0,0
