year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.16,1.2,0.0367,0.0,3.67,0,0,0,0,0,0,0,0,0
2020,Q3,1.21,1.38,0.1361,1.0,13.61,0,0,0,0,0,0,0,0,0
2020,Q4,1.23,1.31,0.066,1.0,6.6,0,0,0,0,0,0,0,0,0
2021,Q1,1.31,1.33,0.0124,0.0,1.24,0,0,0,0,0,0,0,0,0
2021,Q2,1.3,1.38,0.0586,1.0,5.86,0,0,0,0,0,0,0,0,0
2021,Q3,1.38,1.42,0.0254,0.0,2.54,0,0,0,0,0,0,0,0,0
2021,Q4,1.39,1.45,0.046,0.0,4.6,0,0,0,0,0,0,0,0,0
2022,Q1,1.42,1.49,0.0498,1.0,4.98,0,0,0,0,0,0,0,0,0
2022,Q2,1.42,1.39,-0.0223,0.0,-2.23,0,0,0,0,0,0,0,0,0
2022,Q3,1.31,1.35,0.0322,1.0,3.22,0,0,0,0,0,0,0,0,0
2022,Q4,1.22,1.26,0.0298,0.0,2.98,0,0,0,0,0,0,0,0,0
2023,Q1,1.26,1.37,0.087,1.0,8.7,0,0,0,0,0,0,0,0,0
2023,Q2,1.32,1.4,0.0601,1.0,6.01,0,0,0,0,0,0,0,0,0
2023,Q3,1.41,1.49,0.0594,0.0,5.94,0,0,0,0,0,0,0,0,0
2023,Q4,1.5,1.63,0.0876,1.0,8.76,0,0,0,0,0,0,0,0,0
2024,Q1,1.61,1.69,0.0475,1.0,4.75,0,0,0,0,0,0,0,0,0
2024,Q2,1.61,1.64,0.0196,0.0,1.96,0,0,0,0,0,0,0,0,0
2024,Q3,1.53,1.58,0.0302,1.0,3.02,0,0,0,0,0,0,0,0,0
2024,Q4,1.59,1.59,0.0001,0.0,0.01,0,0,0,0,0,0,0,0,0
2025,Q1,1.52,1.66,0.0898,1.0,8.98,0,0,0,0,0,0,0,0,0
2025,Q2,1.57,1.7,0.0858,0.0,8.58,0,0,0,0,0,0,0,0,0
2025,Q3,1.53,1.73,0.1318,0.0,13.18,0,0,0,0,0,0,0,0,0
2025,Q4,1.64,1.86,0.1371,1.0,13.71,0,0,0,0,0,0,0,0,0
2026,Q1,1.75,1.84,0.0512,0.0,5.12,0,0,0,0,0,0,0,0,0
