year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.18,0.18,-0.0232,0.0,-2.32,0,0,0,0,0,0,0,0,0
2020,Q3,0.17,0.18,0.0878,0.0,8.78,0,0,0,0,0,0,0,0,0
2020,Q4,0.36,0.41,0.1549,1.0,15.49,0,0,0,0,0,0,0,0,0
2021,Q1,0.48,0.52,0.0946,0.0,9.46,0,0,0,0,0,0,0,0,0
2021,Q2,0.44,0.52,0.1831,1.0,18.31,0,0,0,0,0,0,0,0,0
2021,Q3,0.54,0.63,0.1695,1.0,16.95,0,0,0,0,0,0,0,0,0
2021,Q4,0.66,0.73,0.1004,0.0,10.04,0,0,0,0,0,0,0,0,0
2022,Q1,0.76,0.92,0.2138,0.0,21.38,0,0,0,0,0,0,0,0,0
2022,Q2,0.92,1.13,0.2223,1.0,22.23,0,0,0,0,0,0,0,0,0
2022,Q3,1.04,1.05,0.0137,1.0,1.37,0,0,0,0,0,0,0,0,0
2022,Q4,0.7,0.67,-0.0483,0.0,-4.83,0,0,0,0,0,0,0,0,0
2023,Q1,0.67,0.69,0.0251,0.0,2.51,0,0,0,0,0,0,0,0,0
2023,Q2,0.56,0.6,0.065,1.0,6.5,0,0,0,0,0,0,0,0,0
2023,Q3,0.57,0.58,0.0105,0.0,1.05,0,0,0,0,0,0,0,0,0
2023,Q4,0.68,0.7,0.0359,1.0,3.59,0,0,0,0,0,0,0,0,0
2024,Q1,0.77,0.77,-0.0001,0.0,-0.01,0,0,0,0,0,0,0,0,0
2024,Q2,0.61,0.62,0.0204,1.0,2.04,0,0,0,0,0,0,0,0,0
2024,Q3,0.68,0.69,0.0126,1.0,1.26,0,0,0,0,0,0,0,0,0
2024,Q4,0.92,0.92,0.0046,1.0,0.46,0,0,0,0,0,0,0,0,0
2025,Q1,1.09,1.09,0.0036,0.0,0.36,0,0,0,0,0,0,0,0,0
2025,Q2,0.93,0.96,0.0283,1.0,2.83,0,0,0,0,0,0,0,0,0
2025,Q3,0.48,0.48,-0.0055,0.0,-0.55,0,0,0,0,0,0,0,0,0
2025,Q4,1.17,1.2,0.0248,0.0,2.48,0,0,0,0,0,0,0,0,0
2026,Q1,1.32,1.53,0.1598,0.0,15.98,0,0,0,0,0,0,0,0,0
