year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,3.75,4.17,0.1125,0.0,11.25,0,0,0,0,0,0,0,0,0
2020,Q3,3.77,4.25,0.1279,0.0,12.79,0,0,0,0,0,0,0,0,0
2020,Q4,3.75,4.37,0.1641,1.0,16.41,0,0,0,0,0,0,0,0,0
2021,Q1,3.35,3.81,0.1385,1.0,13.85,0,0,0,0,0,0,0,0,0
2021,Q2,4.04,3.7,-0.0846,0.0,-8.46,0,0,0,0,0,0,0,0,0
2021,Q3,4.01,4.38,0.092,0.0,9.2,0,0,0,0,0,0,0,0,0
2021,Q4,4.22,4.67,0.1065,1.0,10.65,0,0,0,0,0,0,0,0,0
2022,Q1,4.04,4.36,0.0803,1.0,8.03,0,0,0,0,0,0,0,0,0
2022,Q2,4.12,4.25,0.0312,0.0,3.12,0,0,0,0,0,0,0,0,0
2022,Q3,4.33,4.65,0.0728,1.0,7.28,0,0,0,0,0,0,0,0,0
2022,Q4,4.45,4.7,0.0561,1.0,5.61,0,0,0,0,0,0,0,0,0
2023,Q1,4.09,4.09,-0.0003,0.0,-0.03,0,0,0,0,0,0,0,0,0
2023,Q2,3.85,3.98,0.0327,0.0,3.27,0,0,0,0,0,0,0,0,0
2023,Q3,4.49,5.0,0.1127,1.0,11.27,0,0,0,0,0,0,0,0,0
2023,Q4,4.68,4.96,0.059,1.0,5.9,0,0,0,0,0,0,0,0,0
2024,Q1,4.59,4.71,0.0258,1.0,2.58,0,0,0,0,0,0,0,0,0
2024,Q2,3.89,3.96,0.0183,1.0,1.83,0,0,0,0,0,0,0,0,0
2024,Q3,5.0,4.97,-0.0062,0.0,-0.62,0,0,0,0,0,0,0,0,0
2024,Q4,5.11,5.58,0.0929,1.0,9.29,0,0,0,0,0,0,0,0,0
2025,Q1,5.08,5.31,0.0463,0.0,4.63,0,0,0,0,0,0,0,0,0
2025,Q2,4.26,4.9,0.1501,1.0,15.01,0,0,0,0,0,0,0,0,0
2025,Q3,5.28,6.02,0.1408,1.0,14.08,0,0,0,0,0,0,0,0,0
2025,Q4,5.01,5.64,0.1247,1.0,12.47,0,0,0,0,0,0,0,0,0
2026,Q1,4.73,5.29,0.1194,0.0,11.94,0,0,0,0,0,0,0,0,0
