year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,3.93,5.41,0.3752,1.0,37.52,0,0,0,0,0,0,0,0,0
2020,Q3,2.53,2.64,0.0436,0.0,4.36,0,0,0,0,0,0,0,0,0
2020,Q4,1.23,1.47,0.194,1.0,19.4,0,0,0,0,0,0,0,0,0
2021,Q1,4.54,4.53,-0.0022,0.0,-0.22,0,0,0,0,0,0,0,0,0
2021,Q2,4.71,5.43,0.1537,1.0,15.37,0,0,0,0,0,0,0,0,0
2021,Q3,5.2,5.27,0.0143,0.0,1.43,0,0,0,0,0,0,0,0,0
2021,Q4,5.49,5.86,0.0667,0.0,6.67,0,0,0,0,0,0,0,0,0
2022,Q1,5.73,6.15,0.0738,1.0,7.38,0,0,0,0,0,0,0,0,0
2022,Q2,5.9,5.98,0.014,0.0,1.4,0,0,0,0,0,0,0,0,0
2022,Q3,5.55,5.81,0.0465,1.0,4.65,0,0,0,0,0,0,0,0,0
2022,Q4,5.85,5.24,-0.1039,0.0,-10.39,0,0,0,0,0,0,0,0,0
2023,Q1,6.48,6.94,0.0713,1.0,7.13,0,0,0,0,0,0,0,0,0
2023,Q2,7.2,7.25,0.0064,0.0,0.64,0,0,0,0,0,0,0,0,0
2023,Q3,7.39,7.44,0.0065,0.0,0.65,0,0,0,0,0,0,0,0,0
2023,Q4,7.6,7.68,0.0105,1.0,1.05,0,0,0,0,0,0,0,0,0
2024,Q1,7.7,7.2,-0.0644,0.0,-6.44,0,0,0,0,0,0,0,0,0
2024,Q2,8.2,8.39,0.0232,1.0,2.32,0,0,0,0,0,0,0,0,0
2024,Q3,8.53,8.53,0.0003,1.0,0.03,0,0,0,0,0,0,0,0,0
2024,Q4,8.92,8.1,-0.0916,0.0,-9.16,0,0,0,0,0,0,0,0,0
2025,Q1,9.05,9.36,0.0347,1.0,3.47,0,0,0,0,0,0,0,0,0
2025,Q2,9.17,5.83,-0.3642,0.0,-36.42,0,0,0,0,0,0,0,0,0
2025,Q3,9.0,9.11,0.0117,1.0,1.17,0,0,0,0,0,0,0,0,0
2025,Q4,9.76,9.87,0.0112,0.0,1.12,0,0,0,0,0,0,0,0,0
2026,Q1,10.31,10.83,0.0504,0.0,5.04,0,0,0,0,0,0,0,0,0
