year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.31,0.25,-0.18,0.0,-18.0,0,0,0,0,0,0,0,0,0
2020,Q3,0.08,0.52,5.8221,1.0,582.21,0,0,0,0,0,0,0,0,0
2020,Q4,0.37,0.62,0.6617,0.0,66.17,0,0,0,0,0,0,0,0,0
2021,Q1,0.36,0.7,0.9739,1.0,97.39,0,0,0,0,0,0,0,0,0
2021,Q2,0.48,0.79,0.6411,1.0,64.11,0,0,0,0,0,0,0,0,0
2021,Q3,0.62,0.76,0.2257,1.0,22.57,0,0,0,0,0,0,0,0,0
2021,Q4,0.44,0.31,-0.3085,0.0,-30.85,0,0,0,0,0,0,0,0,0
2022,Q1,0.19,1.39,6.4194,1.0,641.94,0,0,0,0,0,0,0,0,0
2022,Q2,0.41,-0.38,-1.9155,1.0,-191.55,0,0,0,0,0,0,0,0,0
2022,Q3,0.12,-0.2,-2.733,0.0,-273.3,0,0,0,0,0,0,0,0,0
2022,Q4,0.21,0.28,0.33,1.0,33.0,0,0,0,0,0,0,0,0,0
2023,Q1,0.16,0.03,-0.8168,0.0,-81.68,0,0,0,0,0,0,0,0,0
2023,Q2,0.21,0.31,0.4682,0.0,46.82,0,0,0,0,0,0,0,0,0
2023,Q3,0.34,0.65,0.9119,1.0,91.19,0,0,0,0,0,0,0,0,0
2023,Q4,0.58,0.94,0.6222,1.0,62.22,0,0,0,0,0,0,0,0,0
2024,Q1,0.8,1.0,0.2438,1.0,24.38,0,0,0,0,0,0,0,0,0
2024,Q2,0.83,0.98,0.1767,0.0,17.67,0,0,0,0,0,0,0,0,0
2024,Q3,1.03,1.26,0.2292,0.0,22.92,0,0,0,0,0,0,0,0,0
2024,Q4,1.14,1.43,0.2517,0.0,25.17,0,0,0,0,0,0,0,0,0
2025,Q1,1.48,1.86,0.2536,1.0,25.36,0,0,0,0,0,0,0,0,0
2025,Q2,1.36,1.59,0.1708,0.0,17.08,0,0,0,0,0,0,0,0,0
2025,Q3,1.33,1.68,0.2613,1.0,26.13,0,0,0,0,0,0,0,0,0
2025,Q4,1.56,1.95,0.252,1.0,25.2,0,0,0,0,0,0,0,0,0
2026,Q1,1.96,1.95,-0.0049,0.0,-0.49,0,0,0,0,0,0,0,0,0
