year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.11,0.13,0.1145,1.0,11.45,0,0,0,0,0,0,0,0,0
2020,Q3,0.12,0.13,0.0818,0.0,8.18,0,0,0,0,0,0,0,0,0
2020,Q4,0.14,0.15,0.0891,1.0,8.91,0,0,0,0,0,0,0,0,0
2021,Q1,0.15,0.16,0.043,0.0,4.3,0,0,0,0,0,0,0,0,0
2021,Q2,0.15,0.16,0.0516,0.0,5.16,0,0,0,0,0,0,0,0,0
2021,Q3,0.16,0.17,0.0676,0.0,6.76,0,0,0,0,0,0,0,0,0
2021,Q4,0.17,0.19,0.09,0.0,9.0,0,0,0,0,0,0,0,0,0
2022,Q1,0.18,0.21,0.1177,1.0,11.77,0,0,0,0,0,0,0,0,0
2022,Q2,0.2,0.21,0.0391,0.0,3.91,0,0,0,0,0,0,0,0,0
2022,Q3,0.23,0.27,0.1724,0.0,17.24,0,0,0,0,0,0,0,0,0
2022,Q4,0.26,0.31,0.1948,1.0,19.48,0,0,0,0,0,0,0,0,0
2023,Q1,0.3,0.35,0.1619,1.0,16.19,0,0,0,0,0,0,0,0,0
2023,Q2,0.34,0.36,0.0626,0.0,6.26,0,0,0,0,0,0,0,0,0
2023,Q3,0.36,0.4,0.0989,0.0,9.89,0,0,0,0,0,0,0,0,0
2023,Q4,0.39,0.46,0.1612,0.0,16.12,0,0,0,0,0,0,0,0,0
2024,Q1,0.43,0.52,0.216,1.0,21.6,0,0,0,0,0,0,0,0,0
2024,Q2,0.44,0.5,0.1431,1.0,14.31,0,0,0,0,0,0,0,0,0
2024,Q3,0.48,0.53,0.0837,0.0,8.37,0,0,0,0,0,0,0,0,0
2024,Q4,0.52,0.6,0.1531,1.0,15.31,0,0,0,0,0,0,0,0,0
2025,Q1,0.57,0.65,0.1396,1.0,13.96,0,0,0,0,0,0,0,0,0
2025,Q2,0.59,0.65,0.0998,0.0,9.98,0,0,0,0,0,0,0,0,0
2025,Q3,0.65,0.73,0.1238,1.0,12.38,0,0,0,0,0,0,0,0,0
2025,Q4,0.71,0.75,0.0498,0.0,4.98,0,0,0,0,0,0,0,0,0
2026,Q1,0.76,0.82,0.0817,0.0,8.17,0,0,0,0,0,0,0,0,0
