year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.18,0.18,-0.0366,0.0,-3.66,0,0,0,0,0,0,0,0,0
2020,Q3,0.16,0.2,0.2971,1.0,29.71,0,0,0,0,0,0,0,0,0
2020,Q4,0.22,0.27,0.2416,1.0,24.16,0,0,0,0,0,0,0,0,0
2021,Q1,0.26,0.28,0.1044,0.0,10.44,0,0,0,0,0,0,0,0,0
2021,Q2,0.23,0.26,0.1347,1.0,13.47,0,0,0,0,0,0,0,0,0
2021,Q3,0.27,0.31,0.13,1.0,13.0,0,0,0,0,0,0,0,0,0
2021,Q4,0.31,0.33,0.0346,0.0,3.46,0,0,0,0,0,0,0,0,0
2022,Q1,0.31,0.35,0.1331,1.0,13.31,0,0,0,0,0,0,0,0,0
2022,Q2,0.31,0.34,0.0926,0.0,9.26,0,0,0,0,0,0,0,0,0
2022,Q3,0.34,0.38,0.1102,1.0,11.02,0,0,0,0,0,0,0,0,0
2022,Q4,0.37,0.4,0.0673,1.0,6.73,0,0,0,0,0,0,0,0,0
2023,Q1,0.37,0.39,0.0437,1.0,4.37,0,0,0,0,0,0,0,0,0
2023,Q2,0.34,0.35,0.0292,0.0,2.92,0,0,0,0,0,0,0,0,0
2023,Q3,0.34,0.36,0.0586,1.0,5.86,0,0,0,0,0,0,0,0,0
2023,Q4,0.37,0.39,0.0529,0.0,5.29,0,0,0,0,0,0,0,0,0
2024,Q1,0.38,0.41,0.0702,0.0,7.02,0,0,0,0,0,0,0,0,0
2024,Q2,0.37,0.4,0.0887,1.0,8.87,0,0,0,0,0,0,0,0,0
2024,Q3,0.41,0.44,0.0763,0.0,7.63,0,0,0,0,0,0,0,0,0
2024,Q4,0.45,0.5,0.1042,1.0,10.42,0,0,0,0,0,0,0,0,0
2025,Q1,0.5,0.55,0.0923,0.0,9.23,0,0,0,0,0,0,0,0,0
2025,Q2,0.52,0.63,0.2096,0.0,20.96,0,0,0,0,0,0,0,0,0
2025,Q3,0.67,0.81,0.2166,1.0,21.66,0,0,0,0,0,0,0,0,0
2025,Q4,0.8,0.93,0.1648,1.0,16.48,0,0,0,0,0,0,0,0,0
2026,Q1,0.94,0.97,0.0307,0.0,3.07,0,0,0,0,0,0,0,0,0
