year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2021,Q2,-0.01,-0.05,-3.7529,0.0,-375.29,0,0,0,0,0,0,0,0,0
2021,Q3,0.05,0.04,-0.122,1.0,-12.2,0,0,0,0,0,0,0,0,0
2022,Q1,0.1,0.08,-0.2109,1.0,-21.09,0,0,0,0,0,0,0,0,0
2022,Q2,-0.12,-0.31,-1.6954,0.0,-169.54,0,0,0,0,0,0,0,0,0
2022,Q3,0.15,-0.06,-1.4001,0.0,-140.01,0,0,0,0,0,0,0,0,0
2022,Q4,0.07,0.06,-0.1091,1.0,-10.91,0,0,0,0,0,0,0,0,0
2023,Q1,0.05,-0.22,-5.719,0.0,-571.9,0,0,0,0,0,0,0,0,0
2023,Q2,0.06,-0.01,-1.1636,0.0,-116.36,0,0,0,0,0,0,0,0,0
2023,Q3,0.07,0.22,2.1402,1.0,214.02,0,0,0,0,0,0,0,0,0
2023,Q4,0.27,0.3,0.1122,0.0,11.22,0,0,0,0,0,0,0,0,0
2024,Q1,0.35,0.49,0.3934,1.0,39.34,0,0,0,0,0,0,0,0,0
2024,Q2,0.55,0.67,0.2154,0.0,21.54,0,0,0,0,0,0,0,0,0
2024,Q3,0.73,0.89,0.221,0.0,22.1,0,0,0,0,0,0,0,0,0
2024,Q4,0.93,1.25,0.3481,0.0,34.81,0,0,0,0,0,0,0,0,0
2025,Q1,1.26,1.73,0.3753,1.0,37.53,0,0,0,0,0,0,0,0,0
2025,Q2,1.44,1.67,0.1578,0.0,15.78,0,0,0,0,0,0,0,0,0
2025,Q3,1.98,2.39,0.2042,1.0,20.42,0,0,0,0,0,0,0,0,0
2025,Q4,2.39,2.45,0.0261,0.0,2.61,0,0,0,0,0,0,0,0,0
2026,Q1,2.94,3.24,0.1005,0.0,10.05,0,0,0,0,0,0,0,0,0
