year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.92,1.95,0.0142,0.0,1.42,0,0,0,0,0,0,0,0,0
2020,Q3,0.77,0.79,0.0301,0.0,3.01,0,0,0,0,0,0,0,0,0
2020,Q4,0.51,0.53,0.0353,0.0,3.53,0,0,0,0,0,0,0,0,0
2021,Q1,1.53,1.71,0.1145,0.0,11.45,0,0,0,0,0,0,0,0,0
2021,Q2,2.05,2.3,0.1237,1.0,12.37,0,0,0,0,0,0,0,0,0
2021,Q3,0.74,0.78,0.0598,1.0,5.98,0,0,0,0,0,0,0,0,0
2021,Q4,0.38,0.37,-0.0378,0.0,-3.78,0,0,0,0,0,0,0,0,0
2022,Q1,1.85,1.86,0.0073,0.0,0.73,0,0,0,0,0,0,0,0,0
2022,Q2,2.34,2.37,0.0144,0.0,1.44,0,0,0,0,0,0,0,0,0
2022,Q3,0.86,0.92,0.0757,0.0,7.57,0,0,0,0,0,0,0,0,0
2022,Q4,0.43,0.51,0.1829,1.0,18.29,0,0,0,0,0,0,0,0,0
2023,Q1,1.92,1.91,-0.0063,0.0,-0.63,0,0,0,0,0,0,0,0,0
2023,Q2,2.46,2.48,0.0068,1.0,0.68,0,0,0,0,0,0,0,0,0
2023,Q3,0.99,0.94,-0.0548,0.0,-5.48,0,0,0,0,0,0,0,0,0
2023,Q4,0.72,0.8,0.111,1.0,11.1,0,0,0,0,0,0,0,0,0
2024,Q1,2.05,2.08,0.0156,0.0,1.56,0,0,0,0,0,0,0,0,0
2024,Q2,2.61,2.85,0.0925,1.0,9.25,0,0,0,0,0,0,0,0,0
2024,Q3,1.05,1.08,0.028,1.0,2.8,0,0,0,0,0,0,0,0,0
2024,Q4,0.81,0.83,0.0272,1.0,2.72,0,0,0,0,0,0,0,0,0
2025,Q1,2.21,2.23,0.0084,0.0,0.84,0,0,0,0,0,0,0,0,0
2025,Q2,2.88,3.03,0.053,1.0,5.3,0,0,0,0,0,0,0,0,0
2025,Q3,1.15,1.16,0.0125,0.0,1.25,0,0,0,0,0,0,0,0,0
2025,Q4,1.0,1.07,0.0685,1.0,6.85,0,0,0,0,0,0,0,0,0
2026,Q1,2.44,2.44,0.0007,0.0,0.07,0,0,0,0,0,0,0,0,0
