year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.51,0.51,0.0003,0.0,0.03,0,0,0,0,0,0,0,0,0
2020,Q3,0.52,0.54,0.04,1.0,4.0,0,0,0,0,0,0,0,0,0
2020,Q4,0.62,0.64,0.0242,1.0,2.42,0,0,0,0,0,0,0,0,0
2021,Q1,0.66,0.66,0.0058,0.0,0.58,0,0,0,0,0,0,0,0,0
2021,Q2,0.65,0.66,0.0247,1.0,2.47,0,0,0,0,0,0,0,0,0
2021,Q3,0.69,0.7,0.0072,1.0,0.72,0,0,0,0,0,0,0,0,0
2021,Q4,0.78,0.78,0.0051,0.0,0.51,0,0,0,0,0,0,0,0,0
2022,Q1,0.81,0.84,0.0301,0.0,3.01,0,0,0,0,0,0,0,0,0
2022,Q2,0.87,0.91,0.0405,1.0,4.05,0,0,0,0,0,0,0,0,0
2022,Q3,0.95,0.97,0.0192,1.0,1.92,0,0,0,0,0,0,0,0,0
2022,Q4,1.03,1.05,0.0164,0.0,1.64,0,0,0,0,0,0,0,0,0
2023,Q1,1.02,1.03,0.0165,0.0,1.65,0,0,0,0,0,0,0,0,0
2023,Q2,1.01,1.03,0.0175,1.0,1.75,0,0,0,0,0,0,0,0,0
2023,Q3,1.04,1.05,0.0103,1.0,1.03,0,0,0,0,0,0,0,0,0
2023,Q4,1.1,1.11,0.0094,0.0,0.94,0,0,0,0,0,0,0,0,0
2024,Q1,1.04,1.1,0.0544,1.0,5.44,0,0,0,0,0,0,0,0,0
2024,Q2,1.08,1.1,0.0108,0.0,1.08,0,0,0,0,0,0,0,0,0
2024,Q3,1.21,1.24,0.0279,1.0,2.79,0,0,0,0,0,0,0,0,0
2024,Q4,1.39,1.42,0.0204,0.0,2.04,0,0,0,0,0,0,0,0,0
2025,Q1,1.51,1.6,0.0611,1.0,6.11,0,0,0,0,0,0,0,0,0
2025,Q2,1.57,1.58,0.0059,0.0,0.59,0,0,0,0,0,0,0,0,0
2025,Q3,1.66,1.69,0.016,0.0,1.6,0,0,0,0,0,0,0,0,0
2025,Q4,1.87,1.95,0.0438,1.0,4.38,0,0,0,0,0,0,0,0,0
2026,Q1,2.02,2.05,0.0132,0.0,1.32,0,0,0,0,0,0,0,0,0
