year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.5,1.66,0.1062,0.0,10.62,0,0,0,0,0,0,0,0,0
2020,Q3,1.14,1.27,0.1145,0.0,11.45,0,0,0,0,0,0,0,0,0
2020,Q4,1.5,1.91,0.2724,1.0,27.24,0,0,0,0,0,0,0,0,0
2021,Q1,2.11,2.27,0.0756,0.0,7.56,0,0,0,0,0,0,0,0,0
2021,Q2,2.02,2.4,0.1893,1.0,18.93,0,0,0,0,0,0,0,0,0
2021,Q3,2.04,2.25,0.1046,1.0,10.46,0,0,0,0,0,0,0,0,0
2021,Q4,2.03,2.14,0.0543,1.0,5.43,0,0,0,0,0,0,0,0,0
2022,Q1,2.12,2.13,0.0028,0.0,0.28,0,0,0,0,0,0,0,0,0
2022,Q2,2.17,2.4,0.1062,0.0,10.62,0,0,0,0,0,0,0,0,0
2022,Q3,2.37,2.64,0.1155,1.0,11.55,0,0,0,0,0,0,0,0,0
2022,Q4,2.47,2.46,-0.0052,1.0,-0.52,0,0,0,0,0,0,0,0,0
2023,Q1,2.02,1.65,-0.185,0.0,-18.5,0,0,0,0,0,0,0,0,0
2023,Q2,1.65,1.7,0.0315,1.0,3.15,0,0,0,0,0,0,0,0,0
2023,Q3,2.08,1.92,-0.0768,0.0,-7.68,0,0,0,0,0,0,0,0,0
2023,Q4,2.1,2.1,0.0001,1.0,0.01,0,0,0,0,0,0,0,0,0
2024,Q1,2.16,2.16,-0.002,0.0,-0.2,0,0,0,0,0,0,0,0,0
2024,Q2,2.15,2.29,0.0649,0.0,6.49,0,0,0,0,0,0,0,0,0
2024,Q3,2.26,2.42,0.0691,1.0,6.91,0,0,0,0,0,0,0,0,0
2024,Q4,2.34,2.33,-0.0042,1.0,-0.42,0,0,0,0,0,0,0,0,0
2025,Q1,2.41,2.38,-0.0133,0.0,-1.33,0,0,0,0,0,0,0,0,0
2025,Q2,2.32,2.3,-0.0066,0.0,-0.66,0,0,0,0,0,0,0,0,0
2025,Q3,2.39,2.42,0.0107,0.0,1.07,0,0,0,0,0,0,0,0,0
2025,Q4,2.33,2.37,0.0191,0.0,1.91,0,0,0,0,0,0,0,0,0
2026,Q1,2.39,2.45,0.0265,0.0,2.65,0,0,0,0,0,0,0,0,0
