year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.6,0.4,-0.3343,0.0,-33.43,0,0,0,0,0,0,0,0,0
2020,Q3,0.28,0.37,0.3018,1.0,30.18,0,0,0,0,0,0,0,0,0
2020,Q4,0.5,0.51,0.0253,0.0,2.53,0,0,0,0,0,0,0,0,0
2021,Q1,0.54,0.59,0.0905,0.0,9.05,0,0,0,0,0,0,0,0,0
2021,Q2,0.66,0.86,0.3098,0.0,30.98,0,0,0,0,0,0,0,0,0
2021,Q3,0.77,1.03,0.3359,1.0,33.59,0,0,0,0,0,0,0,0,0
2021,Q4,0.71,0.85,0.1978,1.0,19.78,0,0,0,0,0,0,0,0,0
2022,Q1,0.76,0.82,0.0857,1.0,8.57,0,0,0,0,0,0,0,0,0
2022,Q2,0.75,0.8,0.0645,1.0,6.45,0,0,0,0,0,0,0,0,0
2022,Q3,0.75,0.73,-0.0206,0.0,-2.06,0,0,0,0,0,0,0,0,0
2022,Q4,0.78,0.81,0.0447,0.0,4.47,0,0,0,0,0,0,0,0,0
2023,Q1,0.77,0.85,0.1052,0.0,10.52,0,0,0,0,0,0,0,0,0
2023,Q2,0.83,0.94,0.1393,1.0,13.93,0,0,0,0,0,0,0,0,0
2023,Q3,0.83,0.88,0.0562,0.0,5.62,0,0,0,0,0,0,0,0,0
2023,Q4,0.82,0.9,0.1005,1.0,10.05,0,0,0,0,0,0,0,0,0
2024,Q1,0.58,0.35,-0.3917,0.0,-39.17,0,0,0,0,0,0,0,0,0
2024,Q2,0.76,0.76,-0.0051,0.0,-0.51,0,0,0,0,0,0,0,0,0
2024,Q3,0.8,0.83,0.0393,0.0,3.93,0,0,0,0,0,0,0,0,0
2024,Q4,0.76,0.81,0.0617,0.0,6.17,0,0,0,0,0,0,0,0,0
2025,Q1,0.77,0.82,0.0684,0.0,6.84,0,0,0,0,0,0,0,0,0
2025,Q2,0.82,0.9,0.1029,1.0,10.29,0,0,0,0,0,0,0,0,0
2025,Q3,0.86,0.89,0.0373,0.0,3.73,0,0,0,0,0,0,0,0,0
2025,Q4,0.95,1.06,0.1204,1.0,12.04,0,0,0,0,0,0,0,0,0
2026,Q1,0.96,0.98,0.0223,0.0,2.23,0,0,0,0,0,0,0,0,0
