year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.46,0.66,0.4483,1.0,44.83,0,0,0,0,0,0,0,0,0
2020,Q3,0.55,0.7,0.2815,1.0,28.15,0,0,0,0,0,0,0,0,0
2020,Q4,0.68,0.56,-0.178,0.0,-17.8,0,0,0,0,0,0,0,0,0
2021,Q1,0.7,0.73,0.0355,0.0,3.55,0,0,0,0,0,0,0,0,0
2021,Q2,0.75,0.79,0.0523,0.0,5.23,0,0,0,0,0,0,0,0,0
2021,Q3,0.78,0.96,0.2289,0.0,22.89,0,0,0,0,0,0,0,0,0
2021,Q4,0.86,1.26,0.459,1.0,45.9,0,0,0,0,0,0,0,0,0
2022,Q1,0.89,1.08,0.2169,1.0,21.69,0,0,0,0,0,0,0,0,0
2022,Q2,0.81,0.96,0.1782,1.0,17.82,0,0,0,0,0,0,0,0,0
2022,Q3,0.73,0.82,0.1222,0.0,12.22,0,0,0,0,0,0,0,0,0
2022,Q4,0.67,0.78,0.1647,1.0,16.47,0,0,0,0,0,0,0,0,0
2023,Q1,0.54,0.51,-0.0496,0.0,-4.96,0,0,0,0,0,0,0,0,0
2023,Q2,0.56,0.61,0.0829,1.0,8.29,0,0,0,0,0,0,0,0,0
2023,Q3,0.59,0.63,0.059,0.0,5.9,0,0,0,0,0,0,0,0,0
2023,Q4,0.59,0.84,0.4235,1.0,42.35,0,0,0,0,0,0,0,0,0
2024,Q1,0.58,0.65,0.118,1.0,11.8,0,0,0,0,0,0,0,0,0
2024,Q2,0.57,0.56,-0.0132,0.0,-1.32,0,0,0,0,0,0,0,0,0
2024,Q3,0.57,0.6,0.0543,1.0,5.43,0,0,0,0,0,0,0,0,0
2024,Q4,0.59,0.59,-0.0072,0.0,-0.72,0,0,0,0,0,0,0,0,0
2025,Q1,0.53,0.59,0.1143,1.0,11.43,0,0,0,0,0,0,0,0,0
2025,Q2,0.47,0.47,-0.0062,1.0,-0.62,0,0,0,0,0,0,0,0,0
2025,Q3,0.5,0.49,-0.0231,0.0,-2.31,0,0,0,0,0,0,0,0,0
2025,Q4,0.59,0.67,0.1403,0.0,14.03,0,0,0,0,0,0,0,0,0
2026,Q1,0.55,0.7,0.2753,0.0,27.53,0,0,0,0,0,0,0,0,0
