year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.21,0.15,-0.2664,0.0,-26.64,0,0,0,0,0,0,0,0,0
2020,Q3,-0.46,-0.43,0.0665,1.0,6.65,0,0,0,0,0,0,0,0,0
2020,Q4,0.57,0.49,-0.1383,0.0,-13.83,0,0,0,0,0,0,0,0,0
2021,Q1,-0.17,-0.02,0.865,1.0,86.5,0,0,0,0,0,0,0,0,0
2021,Q2,-0.24,-0.21,0.1387,1.0,13.87,0,0,0,0,0,0,0,0,0
2021,Q3,-0.09,-0.1,-0.1834,0.0,-18.34,0,0,0,0,0,0,0,0,0
2021,Q4,1.32,1.51,0.1414,0.0,14.14,0,0,0,0,0,0,0,0,0
2022,Q1,0.54,0.63,0.1708,0.0,17.08,0,0,0,0,0,0,0,0,0
2022,Q2,0.05,0.16,1.9384,1.0,193.84,0,0,0,0,0,0,0,0,0
2022,Q3,0.71,0.76,0.0799,1.0,7.99,0,0,0,0,0,0,0,0,0
2022,Q4,1.99,2.12,0.0638,0.0,6.38,0,0,0,0,0,0,0,0,0
2023,Q1,0.88,0.99,0.1183,1.0,11.83,0,0,0,0,0,0,0,0,0
2023,Q2,0.43,0.46,0.08,0.0,8.0,0,0,0,0,0,0,0,0,0
2023,Q3,1.17,1.5,0.2901,1.0,29.01,0,0,0,0,0,0,0,0,0
2023,Q4,2.72,2.89,0.0649,1.0,6.49,0,0,0,0,0,0,0,0,0
2024,Q1,1.2,1.28,0.0648,0.0,6.48,0,0,0,0,0,0,0,0,0
2024,Q2,0.57,0.82,0.4424,1.0,44.24,0,0,0,0,0,0,0,0,0
2024,Q3,1.55,1.68,0.0828,0.0,8.28,0,0,0,0,0,0,0,0,0
2024,Q4,3.1,3.36,0.0842,0.0,8.42,0,0,0,0,0,0,0,0,0
2025,Q1,1.44,1.66,0.1524,0.0,15.24,0,0,0,0,0,0,0,0,0
2025,Q2,0.7,0.99,0.4123,1.0,41.23,0,0,0,0,0,0,0,0,0
2025,Q3,2.02,2.22,0.0993,1.0,9.93,0,0,0,0,0,0,0,0,0
2025,Q4,3.84,3.98,0.0373,1.0,3.73,0,0,0,0,0,0,0,0,0
2026,Q1,1.95,1.95,0.0027,0.0,0.27,0,0,0,0,0,0,0,0,0
